"pcr_date","pcr_primer","sample","sample_id","Cq","Cq_sd","nsamps","Cq_cv","Cq_relative","Cq_relative_sd3"
"2020-07-31","telo",1,"",12.7198960365927,0.0465176053795656,2,0.365707433816625,1.00338030416305,0.101759168292741
"2020-07-31","telo",2,"",NA,NA,NA,NA,NA,NA
"2020-07-31","telo",3,"",13.1901776910458,0.234415189933414,2,1.77719508731522,1.04047741157101,0.105521421528366
"2020-07-31","telo",4,"",NA,NA,NA,NA,NA,NA
"2020-07-31","telo",5,"",13.6915747749994,0.104154769868317,3,0.760721623187583,1.08002898944213,0.109532598199995
"2020-07-31","telo",6,"",12.7212650161137,0.0664700102755775,2,0.522511009647088,1.0034882930243,0.10177012012891
"2020-07-31","telo",7,"",12.3028145601999,0.192758794450652,2,1.56678614887226,0.970479772787654,0.0984225164815992
"2020-07-31","telo",8,"",14.0793717507974,0.0136714457577093,2,0.0971026690657205,1.11061947905072,0.112634974006379
"2020-07-31","telo",9,"",14.0595013247643,0.0629942165571577,2,0.448054416028257,1.10905204531859,0.112476010598114
"2020-07-31","telo",10,"",12.9139002847825,0.150828418451698,3,1.16795402725412,1.01868389162931,0.10331120227826
"2020-07-31","telo",11,"",13.4537555683241,0.0985677866975898,3,0.732641426381049,1.06126915781747,0.107630044546593
"2020-07-31","telo",12,"",13.2398062082249,0.202422500083806,3,1.5288932247215,1.04439224519222,0.105918449665799
"2020-07-31","telo",13,"",11.4603590805288,0.243778276399775,2,2.12714344015586,0.904024572760516,0.0916828726442308
"2020-07-31","telo",14,"",11.4326138291222,0.176125909658747,2,1.54055679909438,0.901835951193536,0.091460910632978
"2020-07-31","telo",15,"",12.7477308114139,0.239572810570754,2,1.87933691191728,1.00557598758264,0.101981846491311
"2020-07-31","telo",16,"",NA,NA,NA,NA,NA,NA
"2020-07-31","telo",17,"",NA,NA,NA,NA,NA,NA
"2020-07-31","telo",18,"",13.6037675972684,0.186518418171572,3,1.37107912817494,1.07310251831013,0.108830140778147
"2020-07-31","telo",19,"",12.6885479552192,0.195118462353544,3,1.53775249179151,1.00090748148172,0.101508383641753
"2020-07-31","telo",20,"",12.4583564963369,0.0483934587118212,2,0.388441755748844,0.982749347534357,0.0996668519706952
"2020-07-31","telo",21,"",13.0743246491141,0.100142269433587,2,0.765946021084708,1.03133860570992,0.104594597192913
"2020-07-31","telo",22,"",12.2948950993799,0.132574330338403,2,1.07828760853022,0.969855063986304,0.0983591607950396
"2020-07-31","telo",23,"",13.4177398740074,0.0245163434384129,2,0.182715894544248,1.05842814101873,0.107341918992059
"2020-07-31","telo",24,"",12.6556821521168,0.239029543355079,2,1.88871323159059,0.998314936745622,0.101245457216934
"2020-07-31","telo",25,"",NA,NA,NA,NA,NA,NA
"2020-07-31","telo",26,"",12.4411458124461,0.0230622491607788,2,0.185370781023299,0.981391721561037,0.0995291664995688
"2020-07-31","telo",27,"",NA,NA,NA,NA,NA,NA
"2020-07-31","telo",28,"",11.6679713843555,0.0912847886257521,2,0.782353552461973,0.92040160099741,0.0933437710748444
"2020-07-31","telo",29,"",12.1371736460315,0.146176150843237,2,1.20436730252296,0.957413562941127,0.097097389168252
"2020-07-31","telo",30,"",12.9296433817676,0.15394550076294,3,1.19063995979984,1.01992575032028,0.103437147054141
"2020-07-31","telo",31,"",13.9519655428874,0.191781230072044,3,1.37458216537678,1.1005693277541,0.111615724343099
"2020-07-31","telo",32,"",12.663733462507,0.148844652024322,2,1.17536153508759,0.998950046202881,0.101309867700056
"2020-07-31","telo",33,"",12.1063330243886,0.228486624195769,2,1.88733139700912,0.954980770075866,0.0968506641951084
"2020-07-31","telo",34,"",12.7644434512212,0.0825801660995458,2,0.646954694226368,1.00689432647197,0.10211554760977
"2020-07-31","telo",35,"",12.9636853069843,0.057221206777149,2,0.441396141777065,1.02261107079617,0.103709482455874
"2020-07-31","telo",36,"",12.1796949689843,0.0030760790119284,2,0.0252557967975525,0.96076776157884,0.0974375597518744
"2020-07-31","telo",37,"",13.0351086681279,0.11200574144424,2,0.859262046031926,1.02824514151675,0.104280869345023
"2020-07-31","telo",38,"",12.3461764125558,0.088439981481456,2,0.716334989280682,0.973900274691194,0.0987694113004468
"2020-07-31","telo",39,"",12.8192624269189,0.136739318370066,2,1.06667071642851,1.01121859770431,0.102554099415351
"2020-07-31","telo",40,"",12.1115508064497,0.219454538831402,2,1.81194417080376,0.955392363043023,0.096892406451598
"2020-07-31","telo",41,"",13.564502778494,0.198918723826058,3,1.46646528128872,1.07000520165822,0.108516022227952
"2020-07-31","telo",42,"",NA,NA,NA,NA,NA,NA
"2020-07-31","telo",43,"",13.0606628084498,0.00961639989004127,2,0.0736287279679238,1.03026092222872,0.104485302467598
"2020-07-31","telo",44,"",13.3179724949338,0.16743374949365,2,1.25720149637899,1.05055821638472,0.10654377995947
"2020-07-31","telo",45,"",13.4833325021947,0.155156248937877,3,1.15072626824727,1.06360226752355,0.107866660017558
"2020-07-31","telo",46,"",13.7188068742774,0.210908642761449,3,1.53736869900035,1.08217713216106,0.109750454994219
"2020-07-31","telo",47,"",12.8452558141329,0.165544449418691,2,1.28875945963296,1.01326902741648,0.102762046513064
"2020-07-31","telo",48,"",14.4110085055895,0.0455484889466119,2,0.316067324010982,1.13677989631653,0.115288068044716
"2020-07-31","telo",49,"",12.3026554364628,0.225998199347618,2,1.8369871489516,0.970467220670623,0.0984212434917028
"2020-07-31","telo",50,"",11.0992523411747,0.0974115032554441,2,0.877640225315703,0.875539482243569,0.0887940187293976
