ID	FATHER	MOTHER																																												
263114408	NA	NA																																												
263114411	NA	NA																																												
263114412	NA	NA																																												
263114413	NA	NA																																												
263114415	NA	NA																																												
263114425	NA	NA																																												
263114442	NA	NA																																												
263114460	NA	NA																																												
263114461	NA	NA																																												
263114463	NA	NA																																												
263114464	NA	NA																																												
263114470	NA	NA																																												
263114476	NA	NA																																												
240151542	NA	NA																																												
2259122441	NA	NA																																												
232146912	263113852	263114442																																												
232146913	263113852	263114442																																												
232146914	263113852	263114442																																												
88004715	263113815	263114415																																												
88004720	263113815	263114415																																												
263114498	263113815	263114415																																												
263114500	263113815	263114415																																												
263114493	263114411	263114413																																												
263114492	263114120	263114413																																												
263114494	263114120	263114413																																												
212110212	NA	263114412																																												
212110213	239159759	263114412																																												
263114471	240150061	263114407																																												
263114472	240150061	263114407																																												
263114473	240150061	263114407																																												
263114474	240150056	263114405																																												
263114475	240150056	263114405																																												
263113879	NA	263114404																																												
263113837	259122308	263114119																																												
263114445	259122308	263114119																																												
263114447	259122308	263114119																																												
263114448	259122308	263114119																																												
263113839	240151835	263114119																																												
262125583	240151935	263114112																																												
262125589	240151935	263114112																																												
262125590	240151935	263114112																																												
262125591	240151935	263114112																																												
262125592	240151935	263114112																																												
262125593	240151935	263114112																																												
262125573	263114140	263114111																																												
262125574	263114140	263114111																																												
262125575	263114140	263114111																																												
262125576	263114140	263114111																																												
262125577	263114140	263114111																																												
262125578	263114140	263114111																																												
262125579	239160615	263114110																																												
262125580	222154155	263114110																																												
262125581	222154155	263114110																																												
262125582	222154155	263114110																																												
262125585	263114124	263114109																																												
262125586	263114124	263114109																																												
262125587	263114124	263114109																																												
262125584	239160732	263114109																																												
262125588	239160732	263114109																																												
263114195	NA	263114108																																												
263114196	NA	263114108																																												
263114197	263114125	263114108																																												
263114198	263114125	263114108																																												
263114199	263114125	263114108																																												
263114181	240134817	263114107																																												
263114179	239160336	263114107																																												
263114180	239160336	263114107																																												
263114182	239160336	263114107																																												
263114183	239160336	263114107																																												
263114185	NA	263114106																																												
263114184	263114123	263114106																																												
263114186	240134843	263114106																																												
263114187	240134843	263114106																																												
263114188	240134843	263114106																																												
263114191	240150347	263114105																																												
