ANIMAL	SOCNEST	GENNEST	YEAR	UNIT	EXP	SOCMOM	SOCDAD	GENMOM	GENDAD	SWAP	HATCH	BROODBAND	BDATE	AGEBAND	TIMEDAY	BASELATENCY	BASECORT	STRESSLATENCY	STRESSCORT	SLOPE	HEADBILL	FLATWING	MASS	SBMI	SEX	WPO	FATE															
259122473	21324	21324	2013	2	1	240151525	240151578	240151525	240151578	1	158	5	171	13	12.250	34	6.35	32	2.90	-3.45	23.43	31.20	15.50	24.107	2	1	1															
259122474	21324	21324	2013	2	1	240151525	240151578	240151525	240151578	1	158	5	171	13	12.250	36	3.30	32	0.61	-2.69	23.19	38.00	18.50	23.619	2	1	1															
259122475	21324	21324	2013	2	1	240151525	240151578	240151525	240150338	1	158	5	171	13	12.250	38	4.78	34	2.85	-1.93	22.90	29.00	16.25	27.193	1	2	1															
259122447	21325	21325	2013	2	1	222153369	239159553	222153369	239159553	1	156	6	168	12	12.550	85	2.91	32	9.54	6.64	25.32	45.00	20.00	21.559	2	1	1															
259122448	21325	21325	2013	2	1	222153369	239159553	222153369	240150315	1	156	6	168	12	12.550	62	4.37	31	4.59	0.22	24.73	46.20	20.10	21.103	2	2	1															
259122449	21325	21325	2013	2	1	222153369	239159553	222153369	239159553	1	156	6	168	12	12.550	87	2.80	30	4.39	1.59	23.40	37.00	15.75	20.652	2	1	1															
259122450	21325	21325	2013	2	1	222153369	239159553	222153369	240150315	1	156	6	168	12	12.550	47	4.59	30	4.27	-0.32	24.71	46.80	18.25	18.915	2	2	1															
259122451	21325	21325	2013	2	1	222153369	239159553	222153369	239159553	1	156	6	168	12	12.550	40	1.50	32	1.44	-0.06	26.00	42.50	21.80	24.883	1	1	1															
259122499	21325	21325	2013	2	1	222153369	239159553	222153369	239159553	1	156	6	168	12	12.550	100	2.25	32	4.92	2.68	24.75	44.50	19.30	21.038	2	1	1															
259122402	21329	21329	2013	2	1	240151502	240150315	240151502	240151542	1	151	1	163	12	13.417	101	1.45	35	2.42	0.97	23.10	38.00	18.40	23.492	2	2	1															
240151586	21334	21334	2013	2	1	222154169	240150677	222154169	240150677	1	150	4	163	13	12.633	64	0.61	37	5.17	4.56	24.00	41.00	17.30	20.470	2	1	2															
240151587	21334	21334	2013	2	1	222154169	240150677	222154169	240150677	1	150	4	163	13	12.633	51	2.07	37	12.09	10.02	24.20	41.00	16.50	19.523	2	1	1															
240151588	21334	21334	2013	2	1	222154169	240150677	222154169	240150677	1	150	4	163	13	12.633	50	3.28	36	1.58	-1.70	23.80	43.00	16.60	18.727	2	1	1															
240151589	21334	21334	2013	2	1	222154169	240150677	222154169	222154542	1	150	4	163	13	12.633	68	1.06	36	1.38	0.32	25.10	42.00	17.75	20.501	1	2	2															
240151590	21335	21335	2013	2	1	240151509	240151538	240151509	240151538	1	151	6	163	12	13.067	47	40.64	30	40.87	0.22	24.22	30.90	13.50	21.200	1	1	1															
240151591	21335	21335	2013	2	1	240151509	240151538	240151509	240151538	1	151	6	163	12	13.067	32	21.70	33	11.04	-10.66	25.40	39.00	17.25	21.458	1	1	1															
240151592	21335	21335	2013	2	1	240151509	240151538	240151509	240151538	1	151	6	163	12	13.067	58	42.53	31	12.05	-30.48	23.80	33.00	13.80	20.291	2	1	1															
240151593	21335	21335	2013	2	1	240151509	240151538	240151509	240151538	1	151	6	163	12	13.067	82	3.41	30	10.59	7.18	24.75	36.50	17.20	22.863	2	1	1															
240151594	21335	21335	2013	2	1	240151509	240151538	240151509	240151538	1	151	6	163	12	13.067	29	15.33	33	8.41	-6.92	24.25	34.50	14.25	20.041	2	1	2															
240151600	21335	21335	2013	2	1	240151509	240151538	240151509	240151538	1	151	6	163	12	13.067	138	6.39	31	11.22	4.82	25.69	36.10	15.20	20.429	1	1	2															
259122493	21337	21337	2013	2	1	160120373	240150310	160120373	240150736	1	161	3	173	12	13.183	40	4.16	32	17.73	13.56	25.80	53.20	23.49	21.414	1	2	1															
259122494	21337	21337	2013	2	1	160120373	240150310	160120373	240150736	1	161	3	173	12	13.183	42	4.51	34	11.70	7.20	25.54	53.20	20.70	18.871	2	2	1															
259122495	21337	21337	2013	2	1	160120373	240150310	160120373	240150310	1	161	3	173	12	13.183	70	6.12	35	17.75	11.63	26.81	57.00	23.30	19.824	1	1	1															
259122455	21338	21338	2013	2	1	160120131	232173070	160120131	240150310	1	157	7	169	12	12.233	43	1.24	40	34.24	33.00	25.70	55.50	18.85	16.472	2	2	1															
259122456	21338	21338	2013	2	1	160120131	232173070	160120131	240151534	1	157	7	169	12	12.233	52	1.38	36	4.31	2.93	26.20	58.00	21.25	17.768	1	2	1															
259122457	21338	21338	2013	2	1	160120131	232173070	160120131	240151534	1	157	7	169	12	12.233	47	1.29	34	10.60	9.31	27.30	54.50	22.20	19.755	1	2	1															
259122458	21338	21338	2013	2	1	160120131	232173070	160120131	240151538	1	157	7	169	12	12.233	106	3.60	34	9.80	6.20	26.65	52.50	18.00	16.628	1	2	1															
259122459	21338	21338	2013	2	1	160120131	232173070	160120131	240150677	1	157	7	169	12	12.233	147	2.30	38	3.95	1.66	25.40	47.60	19.70	20.074	1	2	1															
259122460	21338	21338	2013	2	1	160120131	232173070	160120131	232173070	1	157	7	169	12	12.233	87	1.85	38	16.41	14.56	24.00	47.00	17.00	17.544	2	1	1															
259122461	21338	21338	2013	2	1	160120131	232173070	160120131	232173070	1	157	7	169	12	12.233	92	3.74	41	63.66	59.92	24.25	40.20	15.10	18.222	1	1	2															
259122424	21347	21347	2013	2	1	222154163	240151554	222154163	240151554	1	152	5	165	13	12.083	NA	NA	32	61.32	NA	25.15	50.50	17.00	16.327	1	1	1															
259122425	21347	21347	2013	2	1	222154163	240151554	222154163	240151554	1	152	5	165	13	12.083	110	82.39	32	51.57	-30.82	22.80	41.00	11.30	13.370	2	1	1															
