Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,false,122,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,72.01365661621094,85.22488403320312,88.72990417480469,81.71986389160156,,
A2,false,6,Target 1,Unknown,SYBR,22.445080738485977,0.9960893333758359,1.6662762895825511,Amp,false,3,16,76.05790710449219,,,,,
A3,false,123,Target 1,Unknown,SYBR,20.587533859774403,0.9947936396848753,1.6398705897653458,Amp,false,3,15,76.05790710449219,,,,,
A4,false,7,Target 1,Unknown,SYBR,22.622428483048296,0.9965307120121395,1.6597703297528916,Amp,false,3,16,76.05790710449219,,,,,
A5,false,124,Target 1,Unknown,SYBR,21.522542198787733,0.9954673194913954,1.666314442956088,Amp,false,3,15,76.05790710449219,,,,,
A6,false,8,Target 1,Unknown,SYBR,21.98971259915529,0.9977987883201678,1.6527025601278378,Amp,false,3,16,75.92310333251953,,,,,
A7,false,125,Target 1,Unknown,SYBR,22.514139136282644,0.9866783461076664,1.6506002753504323,Amp,false,3,13,75.92310333251953,,,,,
A8,false,9,Target 1,Unknown,SYBR,22.039011777035107,0.9942150762031138,1.6583859843280808,Amp,false,3,15,76.05790710449219,,,,,
A9,false,126,Target 1,Unknown,SYBR,23.884444420599124,0.9928473661662793,1.6528814938922478,Amp,false,3,18,75.92310333251953,,,,,
A10,false,10,Target 1,Unknown,SYBR,22.430331452705005,0.9907932253828055,1.6437226187080598,Amp,false,3,17,75.92310333251953,,,,,
A11,false,127,Target 1,Unknown,SYBR,25.084443029340157,0.995817403105143,1.6589605485748509,Amp,false,3,19,75.92310333251953,,,,,
A12,false,11,Target 1,Unknown,SYBR,22.263916721814255,0.9939571293461238,1.6400565540997216,Amp,false,3,16,75.92310333251953,,,,,
A13,false,128,Target 1,Unknown,SYBR,22.530699644558496,0.9963341697157677,1.6603991330283527,Amp,false,3,16,75.92445373535156,,,,,
A14,false,12,Target 1,Unknown,SYBR,22.454156331994362,0.9965369518462697,1.6616198663871988,Amp,false,3,16,76.05929565429688,,,,,
A15,false,1,Target 1,Unknown,SYBR,21.959638978729345,0.9959892844702447,1.6578288182250924,Amp,false,3,16,75.92445373535156,,,,,
A16,false,13,Target 1,Unknown,SYBR,21.85554777907206,0.9958800821472454,1.6595643933597113,Amp,false,3,15,76.05929565429688,,,,,
A17,false,2,Target 1,Unknown,SYBR,23.210034008421196,0.9943749488406217,1.6539545527064636,Amp,false,3,17,75.92445373535156,,,,,
A18,false,14,Target 1,Unknown,SYBR,22.060526609494808,0.9940500138291446,1.6523527330348013,Amp,false,3,16,75.92445373535156,,,,,
A19,false,3,Target 1,Unknown,SYBR,21.80733723886774,0.9952314654152145,1.6366464941576497,Amp,false,3,16,75.92445373535156,,,,,
A20,false,15,Target 1,Unknown,SYBR,22.220621768765284,0.994616262284865,1.648993864834466,Amp,false,3,16,75.92445373535156,,,,,
A21,false,4,Target 1,Unknown,SYBR,22.09850581920312,0.9830946628793443,1.5908931785550842,Amp,false,3,16,75.92445373535156,,,,,
A22,false,16,Target 1,Unknown,SYBR,22.09920459458398,0.9945536316889089,1.6299854443677724,Amp,false,3,16,75.92445373535156,,,,,
A23,false,5,Target 1,Unknown,SYBR,22.56667893994109,0.9944900057606424,1.6264432637886181,Amp,false,3,17,76.05929565429688,,,,,
A24,false,17,Target 1,Unknown,SYBR,22.597796807881366,0.9965997869422326,1.6369571294957486,Amp,false,3,16,76.05929565429688,,,,,
B1,false,122,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,71.87884521484375,88.46028900146484,83.87680053710938,67.56497955322266,,
B2,false,6,Target 1,Unknown,SYBR,22.37890055849053,0.9942659349640114,1.666189017125036,Amp,false,3,16,76.05790710449219,,,,,
B3,false,123,Target 1,Unknown,SYBR,20.632689613635236,0.9876480164574171,1.663096830584063,Amp,false,3,15,76.05790710449219,,,,,
B4,false,7,Target 1,Unknown,SYBR,22.49977772426466,0.9962609359450204,1.6723321457352092,Amp,false,3,16,76.05790710449219,,,,,
B5,false,124,Target 1,Unknown,SYBR,21.62696901173568,0.9958256369880338,1.6584545571543916,Amp,false,3,15,76.05790710449219,,,,,
B6,false,8,Target 1,Unknown,SYBR,21.918994214602037,0.9967829330534611,1.6539614893001684,Amp,false,3,16,75.92310333251953,,,,,
B7,false,125,Target 1,Unknown,SYBR,22.51388355427146,0.994208116474806,1.667284029544358,Amp,false,3,17,76.05790710449219,,,,,
B8,false,9,Target 1,Unknown,SYBR,22.01568159970781,0.9944673004287737,1.6592781270056143,Amp,false,3,15,76.05790710449219,,,,,
B9,false,126,Target 1,Unknown,SYBR,23.68531808927495,0.9966900345933213,1.663467360600262,Amp,false,3,17,76.05790710449219,,,,,
B10,false,10,Target 1,Unknown,SYBR,22.207342772314583,0.9952999501567728,1.6612374334389335,Amp,false,3,15,76.05790710449219,,,,,
