Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,false,122,Target 1,Unknown,SYBR,Undetermined,0,0.9601176014909559,No Amp,false,3,22,78.3454360961914,70.52847290039062,,,,
A2,false,6,Target 1,Unknown,SYBR,14.467605820493862,0.9818305598078269,1.7184634182953735,Amp,false,3,8,77.80633544921875,,,,,
A3,false,123,Target 1,Unknown,SYBR,12.510598168364492,0.9748986189274575,1.6966056877733582,Amp,false,3,7,78.21066284179688,,,,,
A4,false,7,Target 1,Unknown,SYBR,13.467769387412169,0.989368770683119,1.7090225023496666,Amp,false,3,7,77.94110870361328,,,,,
A5,false,124,Target 1,Unknown,SYBR,12.537854414380377,0.9924410390762091,1.721640474808592,Amp,false,3,7,78.21066284179688,,,,,
A6,false,8,Target 1,Unknown,SYBR,14.053046571853105,0.9915799448350722,1.709590972142492,Amp,false,3,8,77.80633544921875,,,,,
A7,false,125,Target 1,Unknown,SYBR,14.026982706123,0.9930699056156412,1.7110454087828872,Amp,false,3,8,78.07588195800781,,,,,
A8,false,9,Target 1,Unknown,SYBR,14.246491546118772,0.9936424353390549,1.7159432152259009,Amp,false,3,9,77.80633544921875,,,,,
A9,false,126,Target 1,Unknown,SYBR,15.165469455972584,0.9914087962076078,1.7194409844345984,Amp,false,3,9,78.07588195800781,,,,,
A10,false,10,Target 1,Unknown,SYBR,13.829480910338972,0.9785145527153125,1.7050521240191192,Amp,false,3,8,77.94110870361328,,,,,
A11,false,127,Target 1,Unknown,SYBR,16.377666117369515,0.9935071705416415,1.7178993928070263,Amp,false,3,10,78.07588195800781,,,,,
A12,false,11,Target 1,Unknown,SYBR,13.13357851815065,0.9848928290135601,1.6882673114757085,Amp,false,3,7,78.07588195800781,,,,,
A13,false,128,Target 1,Unknown,SYBR,13.996056539205991,0.9941939458132445,1.7238948129230238,Amp,false,3,8,78.08551788330078,,,,,
A14,false,12,Target 1,Unknown,SYBR,13.3570747784801,0.9942449067553978,1.7123838005858862,Amp,false,3,7,77.9506607055664,,,,,
A15,false,1,Target 1,Unknown,SYBR,13.512236716338588,0.9889577916549752,1.7050756727138714,Amp,false,3,9,77.81580352783203,,,,,
A16,false,13,Target 1,Unknown,SYBR,14.293416523004836,0.9765690857386559,1.685778335531674,Amp,false,3,9,77.68093872070312,,,,,
A17,false,2,Target 1,Unknown,SYBR,13.216953593725211,0.9875156147762416,1.7023774008407104,Amp,false,3,7,77.9506607055664,,,,,
A18,false,14,Target 1,Unknown,SYBR,16.070846310793705,0.9909374311022934,1.6853030179221262,Amp,false,3,10,77.54608154296875,,,,,
A19,false,3,Target 1,Unknown,SYBR,12.751436073960978,0.9883647291147388,1.7076900643177015,Amp,false,3,7,78.22038269042969,,,,,
A20,false,15,Target 1,Unknown,SYBR,15.822173790919297,0.9896892413671075,1.7019777665386313,Amp,false,3,10,77.41122436523438,,,,,
A21,false,4,Target 1,Unknown,SYBR,14.47541712237281,0.9873853407482709,1.6667581302341625,Amp,false,3,8,77.9506607055664,,,,,
A22,false,16,Target 1,Unknown,SYBR,14.47072032129551,0.9884194039980428,1.6902241764213168,Amp,false,3,8,77.9506607055664,,,,,
A23,false,5,Target 1,Unknown,SYBR,13.686558211294283,0.9800316314819444,1.6872691515038702,Amp,false,3,7,78.22038269042969,,,,,
A24,false,17,Target 1,Unknown,SYBR,13.808105866640439,0.9849290141919201,1.6987058171700775,Amp,false,3,9,78.08551788330078,,,,,
B1,false,122,Target 1,Unknown,SYBR,Undetermined,0,0.9072485301791119,No Amp,false,3,22,78.3454360961914,70.39369201660156,,,,
B2,false,6,Target 1,Unknown,SYBR,13.27737105404805,0.9787692156675952,1.7116807946556918,Amp,false,3,7,77.94110870361328,,,,,
B3,false,123,Target 1,Unknown,SYBR,12.5514040522548,0.9830353477919335,1.7046973564543475,Amp,false,3,7,78.21066284179688,,,,,
B4,false,7,Target 1,Unknown,SYBR,13.155672232308316,0.9899239747310894,1.7236774303077254,Amp,false,3,7,78.07588195800781,,,,,
B5,false,124,Target 1,Unknown,SYBR,13.08552597301367,0.9886949749116019,1.7136373470548725,Amp,false,3,7,78.21066284179688,,,,,
B6,false,8,Target 1,Unknown,SYBR,13.923510987818826,0.9927493140791217,1.700533486750461,Amp,false,3,8,77.94110870361328,,,,,
B7,false,125,Target 1,Unknown,SYBR,13.717865549314975,0.9907491904209622,1.7206501538209789,Amp,false,3,8,78.21066284179688,,,,,
B8,false,9,Target 1,Unknown,SYBR,13.694446180531916,0.9925318649963516,1.7135184481901884,Amp,false,3,8,78.07588195800781,,,,,
B9,false,126,Target 1,Unknown,SYBR,15.298895712336012,0.9935540676359129,1.722409743635428,Amp,false,3,9,78.07588195800781,,,,,
B10,false,10,Target 1,Unknown,SYBR,13.50206059867039,0.9855756112325446,1.712284820940064,Amp,false,3,8,78.07588195800781,,,,,
B11,false,127,Target 1,Unknown,SYBR,16.611299178051347,0.9951314568752057,1.7280112877791904,Amp,false,3,10,78.07588195800781,,,,,
B12,false,11,Target 1,Unknown,SYBR,13.290962497959459,0.9855547852667473,1.7145842935951812,Amp,false,3,8,78.07588195800781,,,,,
B13,false,128,Target 1,Unknown,SYBR,14.186537970828365,0.9923018225625003,1.7249613969592634,Amp,false,3,8,78.08551788330078,,,,,
B14,false,12,Target 1,Unknown,SYBR,13.529771079430734,0.9893574014297212,1.7089340444222778,Amp,false,3,8,77.9506607055664,,,,,
B15,false,1,Target 1,Unknown,SYBR,12.890931075793333,0.9937898181271299,1.7179172332501995,Amp,false,3,7,78.22038269042969,,,,,
B16,false,13,Target 1,Unknown,SYBR,14.632551323910349,0.9885387244621858,1.7117095624656065,Amp,false,3,8,77.81580352783203,,,,,
B17,false,2,Target 1,Unknown,SYBR,14.755960901472953,0.9833513700528358,1.7045422968682686,Amp,false,3,8,77.9506607055664,,,,,
B18,false,14,Target 1,Unknown,SYBR,13.768161009635548,0.97057274019149,1.6686102676968209,Amp,false,3,8,77.68093872070312,,,,,
B19,false,3,Target 1,Unknown,SYBR,13.562876011638963,0.9832856754526974,1.7065571752954238,Amp,false,3,7,78.08551788330078,,,,,
B20,false,15,Target 1,Unknown,SYBR,15.18316220374258,0.9908435136549303,1.6732877595128617,Amp,false,3,9,77.81580352783203,,,,,
B21,false,4,Target 1,Unknown,SYBR,13.619633654916175,0.989677551027385,1.7110226848076961,Amp,false,3,7,78.08551788330078,,,,,
B22,false,16,Target 1,Unknown,SYBR,14.3669302254632,0.9912648502841177,1.70041996475085,Amp,false,3,8,77.9506607055664,,,,,
B23,false,5,Target 1,Unknown,SYBR,15.305399936951389,0.9926016454414665,1.6637795162493012,Amp,false,3,9,77.81580352783203,,,,,
B24,false,17,Target 1,Unknown,SYBR,13.907614741114326,0.9430774220452064,1.6939179746497908,Amp,false,3,11,77.9506607055664,,,,,
C1,false,122,Target 1,Unknown,SYBR,Undetermined,0,0.8913470703083972,No Amp,false,3,22,78.3454360961914,70.66324615478516,,,,
C2,false,6,Target 1,Unknown,SYBR,16.088463669061856,0.9906050580925351,1.7137641801075822,Amp,false,3,9,77.94110870361328,,,,,
C3,false,123,Target 1,Unknown,SYBR,12.022661920353467,0.9798302406447001,1.7415455850700525,Amp,false,3,7,78.21066284179688,,,,,
C4,false,7,Target 1,Unknown,SYBR,12.845703938781043,0.9876788271644726,1.7268239143594761,Amp,false,3,7,78.07588195800781,,,,,
C5,false,124,Target 1,Unknown,SYBR,12.760985377020042,0.9869352988705892,1.7195141405688734,Amp,false,3,7,78.21066284179688,,,,,
C6,false,8,Target 1,Unknown,SYBR,13.806512990162528,0.9928360636406054,1.7143565724166663,Amp,false,3,8,77.94110870361328,,,,,
C7,false,125,Target 1,Unknown,SYBR,13.83800027195213,0.9911326612361022,1.7172302678291242,Amp,false,3,8,78.21066284179688,,,,,
C8,false,9,Target 1,Unknown,SYBR,13.927854957980045,0.993308555721156,1.7230028494143297,Amp,false,3,8,78.07588195800781,,,,,
C9,false,126,Target 1,Unknown,SYBR,14.566428090735126,0.9924375515580736,1.7251938517715697,Amp,false,3,8,78.21066284179688,,,,,
C10,false,10,Target 1,Unknown,SYBR,13.702860182742171,0.9899838852591463,1.7142896182369871,Amp,false,3,8,77.94110870361328,,,,,
C11,false,127,Target 1,Unknown,SYBR,16.381611020267123,0.993034486172256,1.7352515878878696,Amp,false,3,10,78.07588195800781,,,,,
C12,false,11,Target 1,Unknown,SYBR,13.199352465936737,0.9922738963849481,1.7228829146520035,Amp,false,3,7,78.07588195800781,,,,,
C13,false,128,Target 1,Unknown,SYBR,14.29466471164718,0.9903456364784857,1.7253242747895983,Amp,false,3,8,78.08551788330078,,,,,
C14,false,12,Target 1,Unknown,SYBR,13.55831562123776,0.9915680932642055,1.719666092761839,Amp,false,3,9,77.9506607055664,,,,,
C15,false,1,Target 1,Unknown,SYBR,13.308928419523152,0.9856098226327142,1.7112105660805563,Amp,false,3,7,78.08551788330078,,,,,
C16,false,13,Target 1,Unknown,SYBR,16.2544453540278,0.9931041466469807,1.721112471747782,Amp,false,3,10,77.68093872070312,,,,,
C17,false,2,Target 1,Unknown,SYBR,14.345503343951972,0.9923367823538221,1.7171601565696353,Amp,false,3,8,77.9506607055664,,,,,
C18,false,14,Target 1,Unknown,SYBR,14.781392860459928,0.9943571544833322,1.71004057183468,Amp,false,3,9,77.81580352783203,,,,,
C19,false,3,Target 1,Unknown,SYBR,13.523828010233526,0.9778848521468537,1.7110781095029415,Amp,false,3,9,78.08551788330078,,,,,
C20,false,15,Target 1,Unknown,SYBR,13.733780471422023,0.9896417224519657,1.7061701650875576,Amp,false,3,8,78.08551788330078,,,,,
C21,false,4,Target 1,Unknown,SYBR,13.645810882030457,0.9901996357430924,1.7083050202838563,Amp,false,3,9,78.08551788330078,,,,,
C22,false,16,Target 1,Unknown,SYBR,14.021785811384934,0.9898087820711694,1.7093238055000544,Amp,false,3,8,78.08551788330078,,,,,
C23,false,5,Target 1,Unknown,SYBR,15.294358138298733,0.9636269785311384,1.6314763292344139,Amp,false,3,10,77.68093872070312,,,,,
C24,false,17,Target 1,Unknown,SYBR,14.259162928516396,0.9893029351535937,1.7105665960090248,Amp,false,3,8,78.22038269042969,70.66822814941406,,,,
D1,false,18,Target 1,Unknown,SYBR,13.888508429685345,0.9691147791281449,1.6885534191705316,Amp,false,3,8,78.07588195800781,,,,,
D2,false,30,Target 1,Unknown,SYBR,13.567035846693749,0.9912457455472048,1.7012960708404636,Amp,false,3,7,78.07588195800781,,,,,
D3,false,19,Target 1,Unknown,SYBR,14.678497052061903,0.9938067807803781,1.6932081625000075,Amp,false,3,8,77.94110870361328,,,,,
D4,false,31,Target 1,Unknown,SYBR,13.21552353478721,0.9873428342256666,1.7149906381864375,Amp,false,3,7,78.07588195800781,,,,,
D5,false,20,Target 1,Unknown,SYBR,14.140892162709303,0.9920352053208494,1.7178341203554222,Amp,false,3,9,78.07588195800781,,,,,
D6,false,32,Target 1,Unknown,SYBR,12.92807905609769,0.9905917352035833,1.7115659979565718,Amp,false,3,7,78.07588195800781,,,,,
