Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,false,122,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,73.36837005615234,91.56074523925781,85.09234619140625,66.3609390258789,,
A2,false,6,Target 1,Unknown,SYBR,22.38633588109075,0.9918607250108109,1.660594123316437,Amp,false,3,16,76.19829559326172,,,,,
A3,false,123,Target 1,Unknown,SYBR,21.227699251284363,0.9862091801200322,1.630608659223432,Amp,false,3,16,76.19829559326172,,,,,
A4,false,7,Target 1,Unknown,SYBR,22.913923706108413,0.9954611567208764,1.6489870153757007,Amp,false,3,17,76.19829559326172,,,,,
A5,false,124,Target 1,Unknown,SYBR,21.428549558314415,0.9899281539226245,1.6517333395067049,Amp,false,3,15,76.19829559326172,,,,,
A6,false,8,Target 1,Unknown,SYBR,23.508386700567044,0.9919966949237738,1.6298448567434818,Amp,false,3,17,76.06353759765625,,,,,
A7,false,125,Target 1,Unknown,SYBR,22.859289131345,0.9941336662150563,1.6542115618322615,Amp,false,3,16,76.06353759765625,,,,,
A8,false,9,Target 1,Unknown,SYBR,23.48912008636845,0.9906287735433352,1.652581992420882,Amp,false,3,17,76.06353759765625,,,,,
A9,false,126,Target 1,Unknown,SYBR,23.996482500402692,0.9973976321998831,1.654340270339061,Amp,false,3,17,76.06353759765625,,,,,
A10,false,10,Target 1,Unknown,SYBR,22.7461159527164,0.9742207829822367,1.6352680440727883,Amp,false,3,17,76.19829559326172,,,,,
A11,false,127,Target 1,Unknown,SYBR,25.22674471906373,0.9560097050643233,1.6568914159781893,Amp,false,3,20,75.92877960205078,,,,,
A12,false,11,Target 1,Unknown,SYBR,22.950231384817883,0.9905777722797207,1.6360159312191087,Amp,false,3,16,76.06353759765625,,,,,
A13,false,128,Target 1,Unknown,SYBR,22.203972876879618,0.9944061762587327,1.6376967533874112,Amp,false,3,16,76.20166778564453,,,,,
A14,false,12,Target 1,Unknown,SYBR,23.73690701424492,0.9958394331055628,1.6343337246149365,Amp,false,3,17,76.20166778564453,,,,,
A15,false,1,Target 1,Unknown,SYBR,22.521428046443106,0.9923529059183005,1.631845326687416,Amp,false,3,16,76.20166778564453,,,,,
A16,false,13,Target 1,Unknown,SYBR,22.190100366912127,0.9905717497587214,1.6447413971178455,Amp,false,3,15,76.20166778564453,,,,,
A17,false,2,Target 1,Unknown,SYBR,24.168159374118304,0.9931067082251962,1.64175873064872,Amp,false,3,18,76.20166778564453,,,,,
A18,false,14,Target 1,Unknown,SYBR,22.577620452374973,0.9931359759174497,1.6325097277315797,Amp,false,3,17,76.20166778564453,,,,,
A19,false,3,Target 1,Unknown,SYBR,23.244907980021317,0.9927905849130803,1.6340931496966011,Amp,false,3,16,76.33650970458984,,,,,
A20,false,15,Target 1,Unknown,SYBR,23.22803575425091,0.983910766740503,1.6377699631975238,Amp,false,3,16,76.33650970458984,,,,,
A21,false,4,Target 1,Unknown,SYBR,25.196506486586486,0.9124867006249429,1.562270440619384,Amp,false,3,20,76.20166778564453,,,,,
A22,false,16,Target 1,Unknown,SYBR,22.65402082164875,0.9817481422345883,1.6063488032598292,Amp,false,3,17,76.33650970458984,,,,,
A23,false,5,Target 1,Unknown,SYBR,24.14256808611578,0.9882194070581466,1.6064517491279655,Amp,false,3,18,76.33650970458984,,,,,
A24,false,17,Target 1,Unknown,SYBR,22.641631064075774,0.9939183321151323,1.6291622002105361,Amp,false,3,17,76.33650970458984,,,,,
B1,false,122,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,73.0988540649414,90.617431640625,65.82190704345703,93.85163879394531,,
B2,false,6,Target 1,Unknown,SYBR,22.535337257016856,0.9906580146941134,1.6533836426982988,Amp,false,3,17,76.33305358886719,,,,,
B3,false,123,Target 1,Unknown,SYBR,21.06970865437404,0.992958970896784,1.6562566308974458,Amp,false,3,15,76.19829559326172,,,,,
B4,false,7,Target 1,Unknown,SYBR,22.90480177284288,0.9952450785934152,1.6614812637249465,Amp,false,3,17,76.19829559326172,,,,,
B5,false,124,Target 1,Unknown,SYBR,21.91993375258963,0.9945102188989183,1.6514920625375753,Amp,false,3,16,76.19829559326172,,,,,
B6,false,8,Target 1,Unknown,SYBR,23.407099802833983,0.986228076839407,1.638097498799813,Amp,false,3,17,76.06353759765625,,,,,
B7,false,125,Target 1,Unknown,SYBR,22.956313151672752,0.9957716702246892,1.6553690554295657,Amp,false,3,17,76.19829559326172,,,,,
B8,false,9,Target 1,Unknown,SYBR,23.430497855127335,0.9878444715737764,1.6489388545176926,Amp,false,3,17,76.19829559326172,,,,,
B9,false,126,Target 1,Unknown,SYBR,23.81345514087206,0.9931611320491857,1.664904680128653,Amp,false,3,17,76.19829559326172,,,,,
B10,false,10,Target 1,Unknown,SYBR,22.581328884534834,0.9950861485849706,1.6515910602503043,Amp,false,3,16,76.06353759765625,,,,,
B11,false,127,Target 1,Unknown,SYBR,24.968011595010346,0.9954187636886845,1.672084761373566,Amp,false,3,19,76.19829559326172,,,,,
B12,false,11,Target 1,Unknown,SYBR,23.215032543361602,0.9952458087998364,1.658498108280744,Amp,false,3,16,76.06353759765625,,,,,
B13,false,128,Target 1,Unknown,SYBR,22.467319460560944,0.9946829489241077,1.6405031672039967,Amp,false,3,16,76.20166778564453,,,,,
B14,false,12,Target 1,Unknown,SYBR,23.829767217764022,0.9956608735613557,1.6311475597805745,Amp,false,3,17,76.20166778564453,,,,,
B15,false,1,Target 1,Unknown,SYBR,22.675883070950903,0.98969185452272,1.6288499850838012,Amp,false,3,17,76.20166778564453,,,,,
B16,false,13,Target 1,Unknown,SYBR,22.40991765763414,0.9928287757188752,1.6335482451330143,Amp,false,3,16,76.20166778564453,,,,,
B17,false,2,Target 1,Unknown,SYBR,24.37078715270441,0.9808665240019565,1.6235736789789528,Amp,false,3,18,76.20166778564453,,,,,
B18,false,14,Target 1,Unknown,SYBR,22.3764161640933,0.9763300387452227,1.6351859645872304,Amp,false,3,16,76.33650970458984,,,,,
B19,false,3,Target 1,Unknown,SYBR,23.446041458520604,0.9944563187730914,1.6397847926273024,Amp,false,3,18,76.33650970458984,,,,,
B20,false,15,Target 1,Unknown,SYBR,23.645470296151494,0.9907869477221813,1.625423226769656,Amp,false,3,17,76.33650970458984,,,,,
B21,false,4,Target 1,Unknown,SYBR,24.477799448583887,0.9912642228730161,1.6367528328454253,Amp,false,3,18,76.33650970458984,,,,,
B22,false,16,Target 1,Unknown,SYBR,22.73644986370708,0.9887541736582728,1.607507250138308,Amp,false,3,17,76.33650970458984,,,,,
B23,false,5,Target 1,Unknown,SYBR,23.949517419664375,0.9930747164486398,1.6228286102088403,Amp,false,3,18,76.33650970458984,,,,,
B24,false,17,Target 1,Unknown,SYBR,22.85514924313432,0.9737442162670825,1.6184076978778519,Amp,false,3,17,76.47135162353516,,,,,
C1,false,122,Target 1,Unknown,SYBR,Undetermined,0,0.782425472893789,No Amp,false,3,7,73.23361206054688,91.42598724365234,,,,
C2,false,6,Target 1,Unknown,SYBR,22.682609435459163,0.9769288191211404,1.6426496297524111,Amp,false,3,17,76.19829559326172,,,,,
C3,false,123,Target 1,Unknown,SYBR,20.745576333374856,0.9874732566524566,1.6796526006460435,Amp,false,3,15,76.19829559326172,,,,,
C4,false,7,Target 1,Unknown,SYBR,22.88282706657298,0.9943802871822146,1.6644019867776498,Amp,false,3,17,76.06353759765625,,,,,
C5,false,124,Target 1,Unknown,SYBR,21.735796378787413,0.9904372884530438,1.6653525840121428,Amp,false,3,16,76.19829559326172,,,,,
C6,false,8,Target 1,Unknown,SYBR,23.51381341979279,0.9936332746194271,1.6462336052161406,Amp,false,3,17,75.92877960205078,,,,,
C7,false,125,Target 1,Unknown,SYBR,22.94427743220394,0.996246043680788,1.6585460599384254,Amp,false,3,17,76.19829559326172,,,,,
C8,false,9,Target 1,Unknown,SYBR,23.6919640167391,0.9961254020424376,1.6460955875700052,Amp,false,3,17,75.92877960205078,,,,,
C9,false,126,Target 1,Unknown,SYBR,23.938874940627016,0.9963397380451646,1.6595037826273529,Amp,false,3,17,76.19829559326172,,,,,
C10,false,10,Target 1,Unknown,SYBR,22.675699095554045,0.9956446296534174,1.6488902591700294,Amp,false,3,17,76.06353759765625,,,,,
C11,false,127,Target 1,Unknown,SYBR,25.14229417390024,0.9940203361538117,1.6694679878049237,Amp,false,3,19,76.06353759765625,,,,,
C12,false,11,Target 1,Unknown,SYBR,23.152439762187875,0.9954763283911715,1.6559227640580796,Amp,false,3,17,76.06353759765625,,,,,
C13,false,128,Target 1,Unknown,SYBR,22.3899016160077,0.9926213778408423,1.6425290879039491,Amp,false,3,16,76.20166778564453,,,,,
C14,false,12,Target 1,Unknown,SYBR,23.768654444527556,0.9953569154884405,1.6406964722011588,Amp,false,3,18,76.20166778564453,,,,,
C15,false,1,Target 1,Unknown,SYBR,22.558141641197196,0.9947345684627791,1.6375668629610063,Amp,false,3,16,76.20166778564453,,,,,
C16,false,13,Target 1,Unknown,SYBR,22.391356966430862,0.9942720545174167,1.6433982223754577,Amp,false,3,17,76.20166778564453,,,,,
C17,false,2,Target 1,Unknown,SYBR,24.139741964422157,0.99437539596982,1.6483148162336891,Amp,false,3,18,76.20166778564453,,,,,
C18,false,14,Target 1,Unknown,SYBR,22.553904774749455,0.9928142814250217,1.6382917239498784,Amp,false,3,17,76.20166778564453,,,,,
C19,false,3,Target 1,Unknown,SYBR,23.534045213432726,0.9913169394920691,1.6405439735802325,Amp,false,3,18,76.33650970458984,,,,,
C20,false,15,Target 1,Unknown,SYBR,23.693924871418815,0.9927034814783231,1.6378727145552652,Amp,false,3,17,76.20166778564453,,,,,
C21,false,4,Target 1,Unknown,SYBR,24.637304970556187,0.9575679569643757,1.6298728064760934,Amp,false,3,18,76.33650970458984,,,,,
C22,false,16,Target 1,Unknown,SYBR,22.49391048072347,0.9859859020644951,1.6383928670120718,Amp,false,3,17,76.47135162353516,,,,,
C23,false,5,Target 1,Unknown,SYBR,24.131435339072574,0.9774475975901061,1.6158925294180195,Amp,false,3,19,76.47135162353516,,,,,
C24,false,17,Target 1,Unknown,SYBR,22.67217663373757,0.9929372635300269,1.6288878149130195,Amp,false,3,17,76.47135162353516,,,,,
D1,false,18,Target 1,Unknown,SYBR,22.940383828808038,0.9865255395283015,1.6404771289725029,Amp,false,3,17,76.33305358886719,,,,,
D2,false,30,Target 1,Unknown,SYBR,22.565529824386076,0.9917572935077945,1.6285885639969735,Amp,false,3,17,76.19829559326172,,,,,
D3,false,19,Target 1,Unknown,SYBR,22.40350544882149,0.9909369526398563,1.615850817633649,Amp,false,3,17,76.19829559326172,,,,,
D4,false,31,Target 1,Unknown,SYBR,22.999114000367804,0.9947506622927067,1.6603114514878219,Amp,false,3,15,76.33305358886719,,,,,
D5,false,20,Target 1,Unknown,SYBR,22.071157618866096,0.9756048827435552,1.6320734120061282,Amp,false,3,16,76.19829559326172,,,,,
D6,false,32,Target 1,Unknown,SYBR,22.541602223382924,0.9940460067592434,1.6567772141895984,Amp,false,3,17,76.19829559326172,,,,,
D7,false,21,Target 1,Unknown,SYBR,22.573656312132364,0.9855698919606333,1.6509553114964455,Amp,false,3,17,76.06353759765625,,,,,
D8,false,33,Target 1,Unknown,SYBR,22.34353440073039,0.9950299087111919,1.6528503426989751,Amp,false,3,16,76.19829559326172,,,,,
D9,false,22,Target 1,Unknown,SYBR,22.305243933565755,0.9922146411994374,1.6573661034215248,Amp,false,3,16,76.19829559326172,,,,,
D10,false,34,Target 1,Unknown,SYBR,21.993632106562337,0.9945677728231915,1.664531166788756,Amp,false,3,16,76.19829559326172,,,,,
D11,false,23,Target 1,Unknown,SYBR,22.70766483853702,0.9945529157062314,1.6640998622909087,Amp,false,3,16,76.19829559326172,,,,,
D12,false,35,Target 1,Unknown,SYBR,22.6005644112778,0.99390390469589,1.653614515483718,Amp,false,3,16,76.06353759765625,,,,,
D13,false,24,Target 1,Unknown,SYBR,22.496773359175755,0.980400319198907,1.6393207269546117,Amp,false,3,16,76.33650970458984,,,,,
D14,false,36,Target 1,Unknown,SYBR,22.15727308123006,0.9930819082795136,1.6425033116303995,Amp,false,3,15,76.20166778564453,,,,,
D15,false,25,Target 1,Unknown,SYBR,23.17801308525125,0.9923785024774757,1.6402169276506402,Amp,false,3,17,76.20166778564453,,,,,
D16,false,37,Target 1,Unknown,SYBR,22.922108613696302,0.9956880624852745,1.6512990257223426,Amp,false,3,16,76.33650970458984,,,,,
D17,false,26,Target 1,Unknown,SYBR,22.24786153536082,0.9926961095550894,1.6406588434764018,Amp,false,3,16,76.20166778564453,,,,,
D18,false,38,Target 1,Unknown,SYBR,22.883831514252194,0.9960349633323516,1.6438433275129756,Amp,false,3,16,76.33650970458984,,,,,
D19,false,27,Target 1,Unknown,SYBR,24.517050141713575,0.9881488561901499,1.6245434153479452,Amp,false,3,18,76.33650970458984,,,,,
D20,false,39,Target 1,Unknown,SYBR,22.608151367175935,0.9856017734965045,1.6307406230316317,Amp,false,3,17,76.33650970458984,,,,,
D21,false,28,Target 1,Unknown,SYBR,22.31042715789662,0.9822284968933241,1.6267919184751995,Amp,false,3,17,76.47135162353516,,,,,
D22,false,40,Target 1,Unknown,SYBR,22.63581460807101,0.9781005383849486,1.6334820534491838,Amp,false,3,16,76.60618591308594,,,,,
D23,false,29,Target 1,Unknown,SYBR,22.957623225800063,0.9935634653016334,1.6420353895845923,Amp,false,3,17,76.47135162353516,,,,,
D24,false,41,Target 1,Unknown,SYBR,24.306872797946312,0.994135177322861,1.6390030917042255,Amp,false,3,18,76.47135162353516,,,,,
E1,false,18,Target 1,Unknown,SYBR,22.92927530319796,0.987711741411791,1.6568624500625524,Amp,false,3,17,76.06353759765625,,,,,
E2,false,30,Target 1,Unknown,SYBR,22.62672064679176,0.9937177359192485,1.6535490363573235,Amp,false,3,16,76.19829559326172,,,,,
E3,false,19,Target 1,Unknown,SYBR,22.298278496212653,0.9945915716039113,1.636993607549469,Amp,false,3,16,76.06353759765625,,,,,
E4,false,31,Target 1,Unknown,SYBR,23.302363959848286,0.9783835754039949,1.6486253883709348,Amp,false,3,17,76.19829559326172,,,,,
E5,false,20,Target 1,Unknown,SYBR,22.186811978298564,0.9917998721866662,1.6515953746739498,Amp,false,3,16,76.19829559326172,,,,,
E6,false,32,Target 1,Unknown,SYBR,22.717826432558027,0.9897319172968684,1.6446779796441784,Amp,false,3,17,76.19829559326172,,,,,
