Sample,Cq_mu,Cq_sd,cq_cv,Cq_relative
107,11.52518283,0.158717072,1.377132789,1.026908516
108,15.87746854,0.304392258,1.917133433,1.414702733
109,15.31399662,0.373491868,2.438892197,1.364496664
110,15.3500309,0.1897658,1.236256797,1.367707365
111,14.6084052,0.351743976,2.407819137,1.301627568
112,15.67901435,0.170829607,1.08954302,1.397020211
113,17.56085808,0.562408206,3.202623718,1.564694891
114,10.82204531,0.039049507,0.360832968,0.964258064
115,12.31214144,0.300998088,2.444725714,1.097027533
116,15.2305924,0.14938133,0.980797899,1.357065242
117,16.30513922,0.573306282,3.516107859,1.452808737
118,10.87287253,0.36700616,3.375429617,0.968786834
119,11.90975595,0.247545555,2.07851073,1.061174472
120,15.29852627,0.335011284,2.189827163,1.363118237
121,14.33334914,0.356510073,2.487276837,1.277119722
Gold,11.22318362,0.117850655,1.050064392,1
H20,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Std1,11.64568569,0.277678772,2.38439178,1.037645474
Std2,12.97873315,0.643757997,4.960098871,1.156421706
Std3,14.20749467,0.125786777,0.885355087,1.265905927
Std4,15.30156145,0.790317037,5.164943718,1.363388675
Std5,15.87577317,0.173572723,1.093318237,1.414551673
