Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,false,122,Target 1,Unknown,SYBR,Undetermined,0,0.6590008057295036,No Amp,false,3,23,71.19810485839844,78.4717788696289,90.32518005371094,66.75308227539062,,
A2,false,6,Target 1,Unknown,SYBR,17.194769563979897,0.9846628531371165,1.7345391023198957,Amp,false,3,11,77.93299102783203,,,,,
A3,false,123,Target 1,Unknown,SYBR,12.337280120563747,0.991648505307268,1.706542446489477,Amp,false,3,7,78.4717788696289,,,,,
A4,false,7,Target 1,Unknown,SYBR,14.184555591025276,0.989240957114322,1.7279633011992412,Amp,false,3,8,78.33708190917969,,,,,
A5,false,124,Target 1,Unknown,SYBR,13.163679152232937,0.9910465234300182,1.7338051422046912,Amp,false,3,7,78.33708190917969,,,,,
A6,false,8,Target 1,Unknown,SYBR,13.76046857592124,0.983268156439989,1.7207727700493975,Amp,false,3,7,78.20238494873047,,,,,
A7,false,125,Target 1,Unknown,SYBR,15.020713810092317,0.9903305169172728,1.715209990058096,Amp,false,3,8,78.20238494873047,,,,,
A8,false,9,Target 1,Unknown,SYBR,14.255055689213801,0.9900677912032504,1.7262119241408678,Amp,false,3,8,77.93299102783203,,,,,
A9,false,126,Target 1,Unknown,SYBR,19.673884120836114,0.9883004713885927,1.6472461245291747,Amp,false,3,12,78.20238494873047,,,,,
A10,false,10,Target 1,Unknown,SYBR,13.426759253206779,0.995177133213773,1.713054651342843,Amp,false,3,9,78.33708190917969,,,,,
A11,false,127,Target 1,Unknown,SYBR,18.36261547116711,0.9930337382668745,1.7299424340640495,Amp,false,3,11,78.06768798828125,,,,,
A12,false,11,Target 1,Unknown,SYBR,13.780371306230222,0.9935331256877734,1.7141650323881483,Amp,false,3,7,78.20238494873047,,,,,
A13,false,128,Target 1,Unknown,SYBR,15.187231721851013,0.9912626606764596,1.7353850055287827,Amp,false,3,9,78.0689697265625,,,,,
A14,false,12,Target 1,Unknown,SYBR,13.7217594743104,0.9918440946900217,1.7185027433451714,Amp,false,3,7,78.2037124633789,,,,,
A15,false,1,Target 1,Unknown,SYBR,14.781628030195606,0.9915569095696295,1.72199937647747,Amp,false,3,9,78.0689697265625,,,,,
A16,false,13,Target 1,Unknown,SYBR,14.601139720420637,0.9857824682557392,1.731704078309081,Amp,false,3,8,78.2037124633789,,,,,
A17,false,2,Target 1,Unknown,SYBR,14.965896667148481,0.9927681957696862,1.730206370410715,Amp,false,3,8,78.2037124633789,,,,,
A18,false,14,Target 1,Unknown,SYBR,13.530371826806807,0.9903834958097023,1.7191124909853217,Amp,false,3,7,78.33844757080078,,,,,
A19,false,3,Target 1,Unknown,SYBR,13.857284388518323,0.9893588731465591,1.7152690823818555,Amp,false,3,7,78.2037124633789,,,,,
A20,false,15,Target 1,Unknown,SYBR,14.949760022658115,0.9910455573095698,1.7251888046420654,Amp,false,3,8,78.2037124633789,,,,,
A21,false,4,Target 1,Unknown,SYBR,16.92820177501568,0.979004951837756,1.650949679713434,Amp,false,3,10,78.0689697265625,,,,,
A22,false,16,Target 1,Unknown,SYBR,13.69999640470036,0.9869515897268738,1.699602326063243,Amp,false,3,7,78.33844757080078,,,,,
A23,false,5,Target 1,Unknown,SYBR,16.218592425080267,0.9873022869181864,1.6829997941389396,Amp,false,3,9,77.66475677490234,,,,,
A24,false,17,Target 1,Unknown,SYBR,13.700324984815815,0.9915050596587809,1.700704757656472,Amp,false,3,7,78.2037124633789,,,,,
B1,false,122,Target 1,Unknown,SYBR,Undetermined,0,0.6105055763062678,No Amp,false,3,24,71.06340789794922,78.4717788696289,65.94490051269531,,,
B2,false,6,Target 1,Unknown,SYBR,15.78881599396409,0.9908101013404342,1.741272700316833,Amp,false,3,8,78.20238494873047,,,,,
B3,false,123,Target 1,Unknown,SYBR,12.386641478804385,0.9810770316394988,1.7203617436456364,Amp,false,3,7,78.4717788696289,,,,,
B4,false,7,Target 1,Unknown,SYBR,14.44375223169256,0.9906047632144257,1.7410847442019675,Amp,false,3,8,78.33708190917969,,,,,
B5,false,124,Target 1,Unknown,SYBR,13.28637043435527,0.988770184230891,1.7254480477719156,Amp,false,3,7,78.4717788696289,,,,,
B6,false,8,Target 1,Unknown,SYBR,13.721401895737788,0.9900914694528735,1.7203083760640352,Amp,false,3,8,78.20238494873047,,,,,
B7,false,125,Target 1,Unknown,SYBR,14.68401719462073,0.994446830668268,1.7306628175361873,Amp,false,3,8,78.20238494873047,,,,,
B8,false,9,Target 1,Unknown,SYBR,14.255381799124557,0.9877172563229424,1.7145336506224755,Amp,false,3,8,77.93299102783203,,,,,
B9,false,126,Target 1,Unknown,SYBR,15.8198474642365,0.9936935798710106,1.7349954447615377,Amp,false,3,9,78.20238494873047,,,,,
B10,false,10,Target 1,Unknown,SYBR,13.250238414116822,0.9901363386470297,1.7281405007638826,Amp,false,3,7,78.33708190917969,,,,,
B11,false,127,Target 1,Unknown,SYBR,17.96117677466291,0.9943538903950817,1.7415676015385047,Amp,false,3,11,78.20238494873047,,,,,
B12,false,11,Target 1,Unknown,SYBR,13.503289978392697,0.9919328873534203,1.7304436713896358,Amp,false,3,7,78.20238494873047,,,,,
B13,false,128,Target 1,Unknown,SYBR,15.08525462016329,0.9908533121575323,1.7299678492915236,Amp,false,3,8,78.0689697265625,,,,,
B14,false,12,Target 1,Unknown,SYBR,13.406747975726585,0.9910203085135944,1.7222794736619798,Amp,false,3,7,78.2037124633789,,,,,
B15,false,1,Target 1,Unknown,SYBR,14.490309239924688,0.9932738528302923,1.729157362994483,Amp,false,3,8,78.0689697265625,,,,,
