Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Curve Quality,Result Quality Issues
B21,false,4,Target 1,Unknown,SYBR,14.99262054260442,0.9911846096611554,1.6985422784996511,Amp,false,3,8,77.81596374511719,70.80393981933594,,,
B22,false,16,Target 1,Unknown,SYBR,15.520167233532337,0.9897723995597616,1.6917220873069687,Amp,false,3,8,78.08565521240234,,,,
B23,false,5,Target 1,Unknown,SYBR,16.989595835686835,0.9931672586549268,1.7019969437428404,Amp,false,3,9,78.08565521240234,,,,
B24,false,17,Target 1,Unknown,SYBR,14.335450319352073,0.9789531949311665,1.7018409445205875,Amp,false,3,8,78.08565521240234,,,,
C1,false,122,Target 1,Unknown,SYBR,Undetermined,0,0.7434283159780873,No Amp,false,3,23,78.2060546875,70.25650024414062,,,
C2,false,6,Target 1,Unknown,SYBR,15.57910438450551,0.9909485443475752,1.705138060884632,Amp,false,3,8,77.93658447265625,,,,
C3,false,123,Target 1,Unknown,SYBR,13.26499512918793,0.9902253545788949,1.7205475504037744,Amp,false,3,7,78.07131958007812,,,,
C4,false,7,Target 1,Unknown,SYBR,14.259325246068471,0.9858428279887492,1.7227659480839024,Amp,false,3,7,78.07131958007812,,,,
C5,false,124,Target 1,Unknown,SYBR,13.432926757563685,0.9915763856099569,1.7191988894940013,Amp,false,3,7,78.2060546875,,,,
C6,false,8,Target 1,Unknown,SYBR,19.26726299014038,0.9889122200572752,1.7262275785157626,Amp,false,3,12,78.07131958007812,,,,
C7,false,125,Target 1,Unknown,SYBR,14.884702227313767,0.9909958759240796,1.7138885610771506,Amp,false,3,8,78.07131958007812,,,,
C8,false,9,Target 1,Unknown,SYBR,14.883964832425374,0.993169466690394,1.7217145536100897,Amp,false,3,8,78.07131958007812,,,,
C9,false,126,Target 1,Unknown,SYBR,16.03369270500805,0.9881197124216178,1.7263898644962865,Amp,false,3,9,77.93658447265625,,,,
C10,false,10,Target 1,Unknown,SYBR,15.030853147847651,0.9872544836619486,1.7143854412423545,Amp,false,3,8,77.93658447265625,,,,
C11,false,127,Target 1,Unknown,SYBR,17.431767570555664,0.9845394829824732,1.721304943325175,Amp,false,3,10,78.07131958007812,,,,
C12,false,11,Target 1,Unknown,SYBR,19.150126635031484,0.9886389447491712,1.7303355209053495,Amp,false,3,12,78.07131958007812,,,,
C13,false,128,Target 1,Unknown,SYBR,15.651210283929284,0.9814263377234477,1.702622235412693,Amp,false,3,9,77.81596374511719,,,,
C14,false,12,Target 1,Unknown,SYBR,13.942787151892595,0.9913316195591633,1.7164048840500044,Amp,false,3,7,77.95081329345703,,,,
C15,false,1,Target 1,Unknown,SYBR,18.602445381753,0.9923323629083672,1.7233752122825505,Amp,false,3,11,77.95081329345703,,,,
C16,false,13,Target 1,Unknown,SYBR,13.950207311629015,0.9916962351233846,1.7182310801303353,Amp,false,3,7,77.95081329345703,,,,
C17,false,2,Target 1,Unknown,SYBR,16.116992501781596,0.9889237465803232,1.720900773864813,Amp,false,3,9,77.95081329345703,,,,
C18,false,14,Target 1,Unknown,SYBR,16.011123946509304,0.9857743107462489,1.7153295414605036,Amp,false,3,9,77.95081329345703,,,,
C19,false,3,Target 1,Unknown,SYBR,14.633215225707833,0.990881193607033,1.7045302970774354,Amp,false,3,8,78.08565521240234,,,,
C20,false,15,Target 1,Unknown,SYBR,18.883008807875733,0.9923727029272542,1.7073810255734065,Amp,false,3,12,77.95081329345703,,,,
C21,false,4,Target 1,Unknown,SYBR,14.560945076555605,0.9863979586540179,1.6985478704464585,Amp,false,3,8,77.95081329345703,,,,
C22,false,16,Target 1,Unknown,SYBR,15.435451491985038,0.989647807449141,1.7049294462746596,Amp,false,3,9,78.08565521240234,,,,
C23,false,5,Target 1,Unknown,SYBR,17.398993446944267,0.9861731221735491,1.7012703157368214,Amp,false,3,10,78.08565521240234,,,,
C24,false,17,Target 1,Unknown,SYBR,14.220914351975559,0.9867278077627961,1.6986690319653985,Amp,false,3,7,78.08565521240234,,,,
D1,false,18,Target 1,Unknown,SYBR,14.931759324205654,0.9915017910827248,1.6887825876580778,Amp,false,3,8,78.07131958007812,,,,
D2,false,30,Target 1,Unknown,SYBR,13.09364181576412,0.9869670952382068,1.7047130075868484,Amp,false,3,7,78.3407974243164,,,,
D3,false,19,Target 1,Unknown,SYBR,16.975971227942104,0.9890760267509955,1.696684893203233,Amp,false,3,10,78.2060546875,,,,
D4,false,31,Target 1,Unknown,SYBR,13.840444797367802,0.9904682697593997,1.711626519947591,Amp,false,3,7,78.2060546875,,,,
D5,false,20,Target 1,Unknown,SYBR,14.303801365820977,0.9845659807731848,1.719620462718758,Amp,false,3,7,78.2060546875,,,,
D6,false,32,Target 1,Unknown,SYBR,13.580036548771268,0.9905413256060914,1.7110872949828004,Amp,false,3,7,78.2060546875,,,,
D7,false,21,Target 1,Unknown,SYBR,14.406322462244631,0.9879587143039165,1.7143758058665828,Amp,false,3,8,78.07131958007812,,,,
D8,false,33,Target 1,Unknown,SYBR,Undetermined,0,0.686103733864859,No Amp,false,3,27,71.33441162109375,78.07131958007812,92.08409118652344,,
D9,false,22,Target 1,Unknown,SYBR,Undetermined,0,0.5503013980057961,No Amp,false,3,15,75.78076934814453,64.46276092529297,61.3637809753418,,
D10,false,34,Target 1,Unknown,SYBR,13.785818384180597,0.991508022482318,1.721729752354569,Amp,false,3,7,78.07131958007812,,,,
D11,false,23,Target 1,Unknown,SYBR,14.542762844959213,0.9905796157601041,1.7234899182308856,Amp,false,3,8,78.07131958007812,,,,
D12,false,35,Target 1,Unknown,SYBR,14.103873901569383,0.9882604686298767,1.7218886879924582,Amp,false,3,7,77.93658447265625,,,,
D13,false,24,Target 1,Unknown,SYBR,13.889168548210325,0.9904859848504913,1.7116927768237493,Amp,false,3,7,78.08565521240234,,,,
D14,false,36,Target 1,Unknown,SYBR,13.938637130997044,0.9923315860820409,1.714346453433401,Amp,false,3,7,78.08565521240234,,,,
D15,false,25,Target 1,Unknown,SYBR,14.824644410946728,0.9917729900551991,1.7198986315623086,Amp,false,3,8,77.95081329345703,,,,
D16,false,37,Target 1,Unknown,SYBR,14.335069818982703,0.987763675601655,1.7062784885633695,Amp,false,3,8,78.08565521240234,,,,
D17,false,26,Target 1,Unknown,SYBR,14.24525972470083,0.989170181034815,1.7142476021485038,Amp,false,3,7,78.08565521240234,,,,
D18,false,38,Target 1,Unknown,SYBR,13.603148120138457,0.9920452461595105,1.7084140390052418,Amp,false,3,7,78.22050476074219,,,,
D19,false,27,Target 1,Unknown,SYBR,14.038120205923665,0.9777215857991775,1.6965452386138,Amp,false,3,7,78.08565521240234,,,,
D20,false,39,Target 1,Unknown,SYBR,13.981435539700094,0.9926327279969586,1.7020659901153696,Amp,false,3,7,78.22050476074219,,,,
D21,false,28,Target 1,Unknown,SYBR,13.917709393763616,0.987976805551133,1.6912993311553213,Amp,false,3,7,78.22050476074219,,,,
D22,false,40,Target 1,Unknown,SYBR,13.785101696907805,0.9866994684957887,1.688388964181272,Amp,false,3,7,78.3553466796875,,,,
D23,false,29,Target 1,Unknown,SYBR,15.015629514237741,0.9740052306535492,1.7067783671541725,Amp,false,3,8,77.95081329345703,,,,
D24,false,41,Target 1,Unknown,SYBR,11.254528677805876,0.9819611855375322,1.7047389323353426,Amp,false,3,5,79.02958679199219,,,,
E1,false,18,Target 1,Unknown,SYBR,14.451312670134971,0.9892577195558533,1.6888704255488618,Amp,false,3,7,78.2060546875,,,,
E2,false,30,Target 1,Unknown,SYBR,13.806067540534467,0.9907656989166197,1.6955456953316603,Amp,false,3,7,78.07131958007812,,,,
E3,false,19,Target 1,Unknown,SYBR,16.968342019129274,0.9922309264593594,1.7124417206245546,Amp,false,3,10,78.2060546875,,,,
E4,false,31,Target 1,Unknown,SYBR,14.218556720958599,0.9773431069570679,1.7076246242719524,Amp,false,3,7,78.2060546875,,,,
E5,false,20,Target 1,Unknown,SYBR,14.760759535160126,0.986995133703847,1.7134821421181559,Amp,false,3,8,78.2060546875,,,,
E6,false,32,Target 1,Unknown,SYBR,14.01642525956142,0.9819886224014001,1.7082273033502768,Amp,false,3,7,78.07131958007812,,,,
E7,false,21,Target 1,Unknown,SYBR,14.449705699193881,0.9888128524569922,1.719198993260991,Amp,false,3,8,78.2060546875,,,,
E8,false,33,Target 1,Unknown,SYBR,13.600966295021305,0.984326139828444,1.7076887712271684,Amp,false,3,7,78.2060546875,,,,
E9,false,22,Target 1,Unknown,SYBR,14.488444282179021,0.9896593351094211,1.7132407931527278,Amp,false,3,7,78.07131958007812,,,,
E10,false,34,Target 1,Unknown,SYBR,14.461592623978149,0.9856978096447911,1.6756073429334397,Amp,false,3,8,78.07131958007812,,,,
E11,false,23,Target 1,Unknown,SYBR,14.80960334646884,0.9904557195923599,1.716130237477879,Amp,false,3,8,78.07131958007812,,,,
E12,false,35,Target 1,Unknown,SYBR,14.213978290994259,0.9857397873786878,1.7184282326658975,Amp,false,3,7,77.93658447265625,,,,
E13,false,24,Target 1,Unknown,SYBR,13.538558574881314,0.9878699826142688,1.7086427666485595,Amp,false,3,7,78.22050476074219,,,,
E14,false,36,Target 1,Unknown,SYBR,14.113411283473773,0.9856468050857083,1.7240876575027333,Amp,false,3,8,77.95081329345703,,,,
E15,false,25,Target 1,Unknown,SYBR,14.830695877392824,0.9846314453616634,1.722438983436002,Amp,false,3,9,78.08565521240234,,,,
E16,false,37,Target 1,Unknown,SYBR,14.32729068069057,0.9896906216172784,1.7099792124370494,Amp,false,3,7,77.95081329345703,,,,
E17,false,26,Target 1,Unknown,SYBR,14.119052767239616,0.987867352076222,1.7110149071768566,Amp,false,3,7,78.08565521240234,,,,
E18,false,38,Target 1,Unknown,SYBR,14.104471346777519,0.984947772444503,1.7137791428571096,Amp,false,3,7,78.08565521240234,,,,
E19,false,27,Target 1,Unknown,SYBR,13.959884253393412,0.9915793622581475,1.7110333222748844,Amp,false,3,7,78.08565521240234,,,,
