Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Cq_mu,Cq_sd,cq_cv,Cq_relative,Baseline Start,Baseline End,Tm1,Tm2,Curve Quality,Result Quality Issues
J13,FALSE,72,Target 1,Unknown,SYBR,16.55640916,0.992390107,1.72670106,Amp,FALSE,17.23,0.72,4.18,1.53,3,10,78.62545776,,,
K13,FALSE,72,Target 1,Unknown,SYBR,17.13523727,0.990607514,1.728349375,Amp,FALSE,,,,,3,9,78.49066162,,,
L13,FALSE,72,Target 1,Unknown,SYBR,17.98900883,0.981110935,1.631280271,Amp,FALSE,,,,,3,10,78.49066162,,,
J15,FALSE,73,Target 1,Unknown,SYBR,12.01619384,0.978790005,1.722019472,Amp,FALSE,12.37,0.31,2.48,1.10,3,6,78.89504242,,,
K15,FALSE,73,Target 1,Unknown,SYBR,12.54506065,0.987351769,1.710009043,Amp,FALSE,,,,,3,7,78.76024628,,,
L15,FALSE,73,Target 1,Unknown,SYBR,12.55111867,0.966522351,1.701695253,Amp,FALSE,,,,,3,8,78.76024628,,,
J17,FALSE,74,Target 1,Unknown,SYBR,14.05432537,0.969325128,1.728286483,Amp,FALSE,13.55,0.47,3.46,1.21,3,8,78.62545776,,,
K17,FALSE,74,Target 1,Unknown,SYBR,13.48101375,0.988581443,1.721694327,Amp,FALSE,,,,,3,7,78.76024628,,,
L17,FALSE,74,Target 1,Unknown,SYBR,13.12456645,0.986553567,1.717301013,Amp,FALSE,,,,,3,6,78.76024628,,,
J19,FALSE,75,Target 1,Unknown,SYBR,13.63004831,0.98865631,1.7175029,Amp,FALSE,13.49,0.15,1.12,1.20,3,8,78.76024628,,,
K19,FALSE,75,Target 1,Unknown,SYBR,13.51969163,0.986683579,1.704759874,Amp,FALSE,,,,,3,8,78.89504242,,,
L19,FALSE,75,Target 1,Unknown,SYBR,13.33061282,0.986583595,1.71403341,Amp,FALSE,,,,,3,7,78.62545776,,,
J21,FALSE,76,Target 1,Unknown,SYBR,12.42141689,0.984467213,1.72392342,Amp,FALSE,12.55,0.12,0.92,1.12,3,6,78.76024628,,,
K21,FALSE,76,Target 1,Unknown,SYBR,12.65021098,0.969365932,1.705739391,Amp,FALSE,,,,,3,8,78.76024628,,,
L21,FALSE,76,Target 1,Unknown,SYBR,12.56542128,0.979487234,1.706162482,Amp,FALSE,,,,,3,8,78.76024628,,,
J23,FALSE,77,Target 1,Unknown,SYBR,11.81467009,0.984285534,1.708517256,Amp,FALSE,12.76,0.83,6.49,1.14,3,6,79.02983856,,,
K23,FALSE,77,Target 1,Unknown,SYBR,13.12567812,0.96983618,1.683601182,Amp,FALSE,,,,,3,7,78.89504242,,,
