Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,false,122,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,64.59672546386719,85.62425994873047,71.47111511230469,80.36737060546875,,
A2,false,6,Target 1,Unknown,SYBR,20.738177207783927,0.9981224583794842,1.648016879312829,Amp,false,3,16,75.78445434570312,,,,,
A3,false,123,Target 1,Unknown,SYBR,20.30985014573519,0.9874244994230738,1.6301946416455022,Amp,false,3,15,75.91924285888672,,,,,
A4,false,7,Target 1,Unknown,SYBR,20.59429148149315,0.9964218101082385,1.646228331469493,Amp,false,3,15,76.05403137207031,,,,,
A5,false,124,Target 1,Unknown,SYBR,21.63008972340542,0.9972731788632936,1.660114944003763,Amp,false,3,16,76.05403137207031,,,,,
A6,false,8,Target 1,Unknown,SYBR,21.994238164493474,0.9936848187458488,1.472811261621192,Amp,false,3,16,72.14507293701172,,,,,
A7,false,125,Target 1,Unknown,SYBR,23.976232179917275,0.9873797947757494,1.2537241871767002,Amp,false,3,18,68.6404800415039,,,,,
A8,false,9,Target 1,Unknown,SYBR,26.30328032223638,0.32512240544583676,0.8493021411373506,Inconclusive,false,3,17,64.19235229492188,,,,,
A9,false,126,Target 1,Unknown,SYBR,26.27684487577412,0.9790682862734353,1.178823115329104,Amp,false,3,20,68.6404800415039,,,,,
A10,false,10,Target 1,Unknown,SYBR,20.73632659665647,0.9971838151327572,1.6206178859683937,Amp,false,3,15,75.5148696899414,,,,,
A11,false,127,Target 1,Unknown,SYBR,Undetermined,0,0.545012211767902,No Amp,false,3,30,90.47676086425781,74.30174255371094,81.71529388427734,85.75904846191406,,
A12,false,11,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,87.37655639648438,71.87548828125,,,,
A13,false,128,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,83.75312805175781,89.68780517578125,92.79003143310547,75.25574493408203,,
A14,false,12,Target 1,Unknown,SYBR,23.555644633960107,0.8396585725777952,0.9570286134367955,Inconclusive,false,3,16,63.52125549316406,,,,,
