Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Cq_mu,Cq_sd,cq_cv,Cq_relative,Baseline Start,Baseline End,Tm1,Tm2,Curve Quality,Result Quality Issues
A15,FALSE,1,Target 1,Unknown,SYBR,16.1057625,0.990515868,1.722136292,Amp,FALSE,16.2,0.1,0.6,1.36,3,9,78.48369598,,,
B15,FALSE,1,Target 1,Unknown,SYBR,16.18505709,0.991954485,1.728759671,Amp,FALSE,,,,,3,9,78.48369598,,,
C15,FALSE,1,Target 1,Unknown,SYBR,16.30018252,0.992577365,1.728551562,Amp,FALSE,,,,,3,9,78.48369598,,,
A17,FALSE,2,Target 1,Unknown,SYBR,13.46967422,0.989187698,1.72259768,Amp,FALSE,13.66,0.17,1.26,1.14,3,7,78.61846161,,,
B17,FALSE,2,Target 1,Unknown,SYBR,13.70434184,0.98763569,1.718996516,Amp,FALSE,,,,,3,8,78.61846161,,,
C17,FALSE,2,Target 1,Unknown,SYBR,13.80450964,0.989498037,1.730654576,Amp,FALSE,,,,,3,8,78.61846161,,,
A19,FALSE,3,Target 1,Unknown,SYBR,13.12306125,0.983003207,1.709616834,Amp,FALSE,13.13,0.08,0.62,1.1,3,7,78.61846161,,,
B19,FALSE,3,Target 1,Unknown,SYBR,13.0504038,0.97795412,1.712216056,Amp,FALSE,,,,,3,7,78.61846161,,,
C19,FALSE,3,Target 1,Unknown,SYBR,13.21396989,0.982562664,1.71664386,Amp,FALSE,,,,,3,7,78.61846161,,,
A21,FALSE,4,Target 1,Unknown,SYBR,12.78216197,0.965742342,1.661711379,Amp,FALSE,12.54,0.25,2.02,1.05,3,6,78.61846161,,,
B21,FALSE,4,Target 1,Unknown,SYBR,12.27663922,0.988910269,1.71190607,Amp,FALSE,,,,,3,7,78.75322723,,,
C21,FALSE,4,Target 1,Unknown,SYBR,12.55790028,0.974404857,1.700789567,Amp,FALSE,,,,,3,6,78.75322723,,,
A23,FALSE,5,Target 1,Unknown,SYBR,15.08297816,0.980384707,1.685679331,Amp,FALSE,15.08,0,0.03,1.26,3,9,78.61846161,,,
B23,FALSE,5,Target 1,Unknown,SYBR,15.08093569,0.989954657,1.706656551,Amp,FALSE,,,,,3,8,78.61846161,,,
C23,FALSE,5,Target 1,Unknown,SYBR,15.090039,0.9447372,1.702385525,Amp,FALSE,,,,,3,9,78.61846161,,,
A2,FALSE,6,Target 1,Unknown,SYBR,13.94702608,0.98123901,1.727194507,Amp,FALSE,13.87,0.17,1.19,1.16,3,8,78.61987305,,,
B2,FALSE,6,Target 1,Unknown,SYBR,13.68471797,0.981282957,1.721814212,Amp,FALSE,,,,,3,7,78.75460815,,,
C2,FALSE,6,Target 1,Unknown,SYBR,13.9902216,0.969687824,1.714670817,Amp,FALSE,,,,,3,7,78.61987305,,,
A4,FALSE,7,Target 1,Unknown,SYBR,12.57721373,0.986391449,1.7125163,Amp,FALSE,12.59,0.06,0.48,1.05,3,7,78.61987305,,,
B4,FALSE,7,Target 1,Unknown,SYBR,12.53655572,0.986984736,1.726446266,Amp,FALSE,,,,,3,7,78.61987305,,,
C4,FALSE,7,Target 1,Unknown,SYBR,12.65563681,0.981855015,1.727516164,Amp,FALSE,,,,,3,7,78.61987305,,,
A6,FALSE,8,Target 1,Unknown,SYBR,17.05770348,0.986450715,1.721238762,Amp,FALSE,17.11,0.17,0.99,1.43,3,10,78.61987305,,,
B6,FALSE,8,Target 1,Unknown,SYBR,17.30428242,0.983062529,1.725045445,Amp,FALSE,,,,,3,10,78.4851532,,,
C6,FALSE,8,Target 1,Unknown,SYBR,16.98181742,0.993867982,1.734705907,Amp,FALSE,,,,,3,10,78.61987305,,,
A8,FALSE,9,Target 1,Unknown,SYBR,13.30780072,0.981711709,1.714440371,Amp,FALSE,13.2,0.25,1.91,1.11,3,7,78.61987305,,,
B8,FALSE,9,Target 1,Unknown,SYBR,12.91174743,0.992267102,1.719142282,Amp,FALSE,,,,,3,7,78.75460815,,,
C8,FALSE,9,Target 1,Unknown,SYBR,13.3809669,0.986131142,1.720183553,Amp,FALSE,,,,,3,7,78.61987305,,,
A10,FALSE,10,Target 1,Unknown,SYBR,13.62708065,0.978955894,1.707567624,Amp,FALSE,13.5,0.19,1.42,1.13,3,7,78.61987305,,,
B10,FALSE,10,Target 1,Unknown,SYBR,13.58900625,0.990608704,1.717461758,Amp,FALSE,,,,,3,7,78.61987305,,,
C10,FALSE,10,Target 1,Unknown,SYBR,13.27763571,0.988442616,1.717742609,Amp,FALSE,,,,,3,7,78.61987305,,,
A12,FALSE,11,Target 1,Unknown,SYBR,17.40673619,0.988347809,1.69896929,Amp,FALSE,17.35,0.05,0.27,1.45,3,11,78.4851532,,,
B12,FALSE,11,Target 1,Unknown,SYBR,17.32156845,0.99215809,1.725368025,Amp,FALSE,,,,,3,11,78.35042572,,,
