Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Cq_mu,Cq_sd,cq_cv,Cq_relative,Baseline Start,Baseline End,Tm1,Tm2,Curve Quality,Result Quality Issues
C12,FALSE,11,Target 1,Unknown,SYBR,17.3299126,0.991367839,1.728744894,Amp,FALSE,,,,,3,10,78.35042572,,,
A14,FALSE,12,Target 1,Unknown,SYBR,12.81417579,0.98391785,1.701155846,Amp,FALSE,12.65,0.15,1.15,1.06,3,7,78.48369598,,,
B14,FALSE,12,Target 1,Unknown,SYBR,12.60710087,0.97959006,1.700352986,Amp,FALSE,,,,,3,7,78.61846161,,,
C14,FALSE,12,Target 1,Unknown,SYBR,12.53306575,0.981450417,1.717768657,Amp,FALSE,,,,,3,7,78.48369598,,,
A16,FALSE,13,Target 1,Unknown,SYBR,12.98329134,0.981265431,1.715480035,Amp,FALSE,12.86,0.15,1.15,1.08,3,7,78.48369598,,,
B16,FALSE,13,Target 1,Unknown,SYBR,12.89325875,0.982558347,1.714410015,Amp,FALSE,,,,,3,7,78.48369598,,,
C16,FALSE,13,Target 1,Unknown,SYBR,12.69370003,0.99177687,1.724579839,Amp,FALSE,,,,,3,7,78.48369598,,,
A18,FALSE,14,Target 1,Unknown,SYBR,14.68479144,0.992384609,1.714228357,Amp,FALSE,14.66,0.1,0.71,1.23,3,8,78.34893036,,,
B18,FALSE,14,Target 1,Unknown,SYBR,14.54848516,0.990533516,1.722578984,Amp,FALSE,,,,,3,9,78.48369598,,,
C18,FALSE,14,Target 1,Unknown,SYBR,14.75415661,0.988485506,1.722577805,Amp,FALSE,,,,,3,8,78.34893036,,,
A20,FALSE,15,Target 1,Unknown,SYBR,16.10766673,0.988904592,1.722855024,Amp,FALSE,16.17,0.09,0.56,1.35,3,9,78.48369598,,,
B20,FALSE,15,Target 1,Unknown,SYBR,16.26864536,0.990804653,1.714011209,Amp,FALSE,,,,,3,9,78.48369598,,,
C20,FALSE,15,Target 1,Unknown,SYBR,16.11941322,0.990659027,1.723607734,Amp,FALSE,,,,,3,9,78.48369598,,,
A22,FALSE,16,Target 1,Unknown,SYBR,14.5018048,0.979234826,1.674865979,Amp,FALSE,14.28,0.3,2.09,1.2,3,9,78.61846161,,,
B22,FALSE,16,Target 1,Unknown,SYBR,14.40339976,0.992068424,1.683763893,Amp,FALSE,,,,,3,7,78.61846161,,,
C22,FALSE,16,Target 1,Unknown,SYBR,13.94269022,0.989097796,1.70981938,Amp,FALSE,,,,,3,9,78.61846161,,,
A24,FALSE,17,Target 1,Unknown,SYBR,12.41373906,0.985339797,1.698127118,Amp,FALSE,12.59,0.26,2.05,1.05,3,6,78.75322723,,,
B24,FALSE,17,Target 1,Unknown,SYBR,12.88670651,0.968901061,1.688727964,Amp,FALSE,,,,,3,6,78.75322723,,,
C24,FALSE,17,Target 1,Unknown,SYBR,12.46932771,0.964549452,1.701492995,Amp,FALSE,,,,,3,6,78.88799286,,,
D1,FALSE,18,Target 1,Unknown,SYBR,12.79835063,0.985957867,1.702246165,Amp,FALSE,13.1,0.3,2.31,1.1,3,7,78.889328,,,
E1,FALSE,18,Target 1,Unknown,SYBR,13.10779142,0.980806401,1.701282794,Amp,FALSE,,,,,3,7,78.75460815,,,
F1,FALSE,18,Target 1,Unknown,SYBR,13.40436833,0.987801039,1.693542647,Amp,FALSE,,,,,3,7,78.75460815,,,
D3,FALSE,19,Target 1,Unknown,SYBR,15.13661919,0.979347571,1.70019508,Amp,FALSE,14.8,0.33,2.2,1.24,3,9,78.61987305,,,
E3,FALSE,19,Target 1,Unknown,SYBR,14.48884858,0.99111239,1.720685244,Amp,FALSE,,,,,3,8,78.75460815,,,
F3,FALSE,19,Target 1,Unknown,SYBR,14.76441873,0.991566523,1.729949984,Amp,FALSE,,,,,3,8,78.75460815,,,
D5,FALSE,20,Target 1,Unknown,SYBR,12.99900441,0.99153863,1.718089299,Amp,FALSE,13.04,0.13,0.98,1.09,3,7,78.75460815,,,
E5,FALSE,20,Target 1,Unknown,SYBR,12.94500172,0.992050894,1.720351826,Amp,FALSE,,,,,3,7,78.61987305,,,
F5,FALSE,20,Target 1,Unknown,SYBR,13.18729035,0.98631135,1.713251342,Amp,FALSE,,,,,3,7,78.75460815,,,
D7,FALSE,21,Target 1,Unknown,SYBR,12.1432725,0.989285102,1.713423172,Amp,FALSE,12.71,0.86,6.81,1.06,3,6,78.75460815,,,
E7,FALSE,21,Target 1,Unknown,SYBR,12.27186275,0.979849549,1.720957589,Amp,FALSE,,,,,3,6,78.75460815,,,
F7,FALSE,21,Target 1,Unknown,SYBR,13.70132352,0.990849564,1.711820858,Amp,FALSE,,,,,3,8,78.4851532,,,
D9,FALSE,22,Target 1,Unknown,SYBR,12.54841661,0.991661159,1.721655884,Amp,FALSE,12.92,0.32,2.5,1.08,3,7,78.75460815,,,
E9,FALSE,22,Target 1,Unknown,SYBR,13.1575965,0.984240877,1.717001904,Amp,FALSE,,,,,3,7,78.61987305,,,
F9,FALSE,22,Target 1,Unknown,SYBR,13.04106859,0.981755545,1.716071963,Amp,FALSE,,,,,3,7,78.61987305,,,
D11,FALSE,23,Target 1,Unknown,SYBR,13.2567852,0.990405287,1.721168381,Amp,FALSE,13.13,0.13,1.02,1.1,3,7,78.61987305,,,
E11,FALSE,23,Target 1,Unknown,SYBR,13.13542214,0.989439401,1.711153991,Amp,FALSE,,,,,3,7,78.61987305,,,
F11,FALSE,23,Target 1,Unknown,SYBR,12.9903592,0.986727532,1.730708637,Amp,FALSE,,,,,3,7,78.75460815,,,
D13,FALSE,24,Target 1,Unknown,SYBR,11.30198466,0.987402071,1.706796146,Amp,FALSE,11.94,0.57,4.73,1,3,6,78.88799286,,,
E13,FALSE,24,Target 1,Unknown,SYBR,12.16618623,0.98680426,1.71836006,Amp,FALSE,,,,,3,6,78.61846161,,,
F13,FALSE,24,Target 1,Unknown,SYBR,12.36502695,0.98897401,1.721578174,Amp,FALSE,,,,,3,7,78.61846161,,,
D15,FALSE,25,Target 1,Unknown,SYBR,12.58835361,0.989397306,1.7192797,Amp,FALSE,12.81,0.2,1.55,1.07,3,7,78.61846161,,,
E15,FALSE,25,Target 1,Unknown,SYBR,12.85160642,0.9867347,1.719081365,Amp,FALSE,,,,,3,6,78.48369598,,,
F15,FALSE,25,Target 1,Unknown,SYBR,12.97766255,0.983283455,1.718578912,Amp,FALSE,,,,,3,6,78.61846161,,,
D17,FALSE,26,Target 1,Unknown,SYBR,11.70064712,0.979721778,1.718101739,Amp,FALSE,12.28,0.54,4.39,1.03,3,6,78.88799286,,,
E17,FALSE,26,Target 1,Unknown,SYBR,12.38986735,0.982413813,1.714578194,Amp,FALSE,,,,,3,6,78.61846161,,,
F17,FALSE,26,Target 1,Unknown,SYBR,12.76273624,0.981795236,1.71655028,Amp,FALSE,,,,,3,6,78.61846161,,,
D19,FALSE,27,Target 1,Unknown,SYBR,12.9223039,0.977368515,1.698810737,Amp,FALSE,12.75,0.16,1.23,1.07,3,7,78.61846161,,,
E19,FALSE,27,Target 1,Unknown,SYBR,12.69187732,0.987270052,1.712196922,Amp,FALSE,,,,,3,7,78.61846161,,,
F19,FALSE,27,Target 1,Unknown,SYBR,12.62215519,0.989125702,1.728402404,Amp,FALSE,,,,,3,7,78.75322723,,,
D21,FALSE,28,Target 1,Unknown,SYBR,12.36646007,0.971995608,1.696375202,Amp,FALSE,12.67,0.27,2.1,1.06,3,6,78.75322723,,,
E21,FALSE,28,Target 1,Unknown,SYBR,12.84384201,0.982688084,1.711994076,Amp,FALSE,,,,,3,8,78.61846161,,,
F21,FALSE,28,Target 1,Unknown,SYBR,12.80948318,0.984966177,1.711050002,Amp,FALSE,,,,,3,6,78.75322723,,,
D23,FALSE,29,Target 1,Unknown,SYBR,13.22847767,0.968977186,1.712180204,Amp,FALSE,13.47,0.21,1.58,1.13,3,7,78.75322723,,,
E23,FALSE,29,Target 1,Unknown,SYBR,13.62782303,0.975881023,1.685782209,Amp,FALSE,,,,,3,9,78.61846161,,,
F23,FALSE,29,Target 1,Unknown,SYBR,13.55263768,0.970217682,1.701048905,Amp,FALSE,,,,,3,7,78.75322723,,,
D2,FALSE,30,Target 1,Unknown,SYBR,11.70155974,0.989728019,1.709157127,Amp,FALSE,12.08,0.36,2.97,1.01,3,6,78.889328,,,
E2,FALSE,30,Target 1,Unknown,SYBR,12.13819275,0.985011294,1.698606603,Amp,FALSE,,,,,3,6,78.889328,,,
F2,FALSE,30,Target 1,Unknown,SYBR,12.41283065,0.985056368,1.706128672,Amp,FALSE,,,,,3,6,78.75460815,,,
D4,FALSE,31,Target 1,Unknown,SYBR,11.67072334,0.965759055,1.709880657,Amp,FALSE,12.16,0.43,3.5,1.02,3,6,79.02405548,,,
E4,FALSE,31,Target 1,Unknown,SYBR,12.35871962,0.977473112,1.702920456,Amp,FALSE,,,,,3,7,78.75460815,,,
F4,FALSE,31,Target 1,Unknown,SYBR,12.44941607,0.988062066,1.697751525,Amp,FALSE,,,,,3,6,78.75460815,,,
D6,FALSE,32,Target 1,Unknown,SYBR,11.99929241,0.992731727,1.716894454,Amp,FALSE,12.34,0.3,2.42,1.03,3,6,78.889328,,,
E6,FALSE,32,Target 1,Unknown,SYBR,12.53105776,0.985462489,1.718337625,Amp,FALSE,,,,,3,7,78.75460815,,,
F6,FALSE,32,Target 1,Unknown,SYBR,12.5021916,0.98299804,1.716422083,Amp,FALSE,,,,,3,7,78.75460815,,,
D8,FALSE,33,Target 1,Unknown,SYBR,11.59265881,0.991107246,1.715119461,Amp,FALSE,12.01,0.36,2.98,1.01,3,6,78.889328,,,
E8,FALSE,33,Target 1,Unknown,SYBR,12.20875019,0.982119259,1.717606847,Amp,FALSE,,,,,3,6,78.61987305,,,
F8,FALSE,33,Target 1,Unknown,SYBR,12.21472625,0.987202701,1.717298739,Amp,FALSE,,,,,3,7,78.75460815,,,
D10,FALSE,34,Target 1,Unknown,SYBR,12.56863366,0.9927707,1.722404799,Amp,FALSE,12.79,0.21,1.64,1.07,3,7,78.61987305,,,
E10,FALSE,34,Target 1,Unknown,SYBR,12.98378368,0.99163362,1.693232478,Amp,FALSE,,,,,3,7,78.61987305,,,
F10,FALSE,34,Target 1,Unknown,SYBR,12.82701269,0.990848592,1.720488105,Amp,FALSE,,,,,3,6,78.61987305,,,
D12,FALSE,35,Target 1,Unknown,SYBR,12.1063152,0.981413786,1.720325992,Amp,FALSE,12.66,0.5,3.95,1.06,3,6,78.61987305,,,
E12,FALSE,35,Target 1,Unknown,SYBR,13.07284044,0.986760408,1.719042088,Amp,FALSE,,,,,3,7,78.4851532,,,
F12,FALSE,35,Target 1,Unknown,SYBR,12.81417211,0.98684693,1.720663291,Amp,FALSE,,,,,3,6,78.61987305,,,
D14,FALSE,36,Target 1,Unknown,SYBR,12.02031939,0.982126539,1.719264225,Amp,FALSE,12.55,0.48,3.8,1.05,3,6,78.75322723,,,
E14,FALSE,36,Target 1,Unknown,SYBR,12.68578317,0.988465828,1.721320217,Amp,FALSE,,,,,3,7,78.48369598,,,
F14,FALSE,36,Target 1,Unknown,SYBR,12.94487145,0.987865179,1.725121492,Amp,FALSE,,,,,3,7,78.48369598,,,
D16,FALSE,37,Target 1,Unknown,SYBR,12.00415521,0.981440592,1.726317756,Amp,FALSE,12.6,0.52,4.12,1.06,3,6,78.75322723,,,
E16,FALSE,37,Target 1,Unknown,SYBR,12.86580297,0.977751821,1.726577297,Amp,FALSE,,,,,3,7,78.61846161,,,
F16,FALSE,37,Target 1,Unknown,SYBR,12.93844059,0.981149018,1.730935416,Amp,FALSE,,,,,3,6,78.48369598,,,
D18,FALSE,38,Target 1,Unknown,SYBR,11.50281988,0.983307091,1.715226804,Amp,FALSE,12.11,0.54,4.47,1.01,3,6,78.88799286,,,
E18,FALSE,38,Target 1,Unknown,SYBR,12.29860254,0.985586949,1.713730363,Amp,FALSE,,,,,3,7,78.61846161,,,
F18,FALSE,38,Target 1,Unknown,SYBR,12.536834,0.946039958,1.696752699,Amp,FALSE,,,,,3,6,78.61846161,,,
D20,FALSE,39,Target 1,Unknown,SYBR,12.53970791,0.986969388,1.713402245,Amp,FALSE,12.84,0.26,2.05,1.08,3,6,78.75322723,,,
E20,FALSE,39,Target 1,Unknown,SYBR,13.00593401,0.98345828,1.715778505,Amp,FALSE,,,,,3,7,78.61846161,,,
F20,FALSE,39,Target 1,Unknown,SYBR,12.98266703,0.990526318,1.721439216,Amp,FALSE,,,,,3,7,78.75322723,,,
D22,FALSE,40,Target 1,Unknown,SYBR,12.76116611,0.976094808,1.699350009,Amp,FALSE,13.06,0.27,2.07,1.09,3,7,78.88799286,,,
E22,FALSE,40,Target 1,Unknown,SYBR,13.28993828,0.974014789,1.706204269,Amp,FALSE,,,,,3,7,78.75322723,,,
F22,FALSE,40,Target 1,Unknown,SYBR,13.12409261,0.987119462,1.71293686,Amp,FALSE,,,,,3,7,78.75322723,,,
D24,FALSE,41,Target 1,Unknown,SYBR,12.30906676,0.968350078,1.706822373,Amp,FALSE,12.74,0.4,3.11,1.07,3,6,78.88799286,,,
E24,FALSE,41,Target 1,Unknown,SYBR,13.08856697,0.979007717,1.707182412,Amp,FALSE,,,,,3,7,78.75322723,,,
F24,FALSE,41,Target 1,Unknown,SYBR,12.82006838,0.978003639,1.70692018,Amp,FALSE,,,,,3,6,78.88799286,,,
G1,FALSE,42,Target 1,Unknown,SYBR,12.77707042,0.989560472,1.707175812,Amp,FALSE,13.14,0.32,2.46,1.1,3,7,78.75460815,,,
H1,FALSE,42,Target 1,Unknown,SYBR,13.38564963,0.970712545,1.655274095,Amp,FALSE,,,,,3,6,78.75460815,,,
I1,FALSE,42,Target 1,Unknown,SYBR,13.26799929,0.980134693,1.706763064,Amp,FALSE,,,,,3,7,78.75460815,,,
G3,FALSE,43,Target 1,Unknown,SYBR,12.01577677,0.985228122,1.701566049,Amp,FALSE,12.39,0.37,3.02,1.04,3,6,78.889328,,,
H3,FALSE,43,Target 1,Unknown,SYBR,12.38544669,0.987283251,1.719222198,Amp,FALSE,,,,,3,7,78.889328,,,
I3,FALSE,43,Target 1,Unknown,SYBR,12.76455058,0.988523752,1.707238198,Amp,FALSE,,,,,3,7,78.75460815,,,
G5,FALSE,44,Target 1,Unknown,SYBR,12.44600662,0.980702537,1.71656489,Amp,FALSE,12.89,0.38,2.96,1.08,3,7,78.75460815,,,
H5,FALSE,44,Target 1,Unknown,SYBR,13.10625682,0.984038624,1.714478484,Amp,FALSE,,,,,3,8,78.75460815,,,
I5,FALSE,44,Target 1,Unknown,SYBR,13.1058964,0.980780759,1.701163749,Amp,FALSE,,,,,3,7,78.61987305,,,
G7,FALSE,45,Target 1,Unknown,SYBR,12.23436095,0.992255131,1.7125701,Amp,FALSE,12.64,0.36,2.82,1.06,3,8,78.889328,,,
H7,FALSE,45,Target 1,Unknown,SYBR,12.79900194,0.972857508,1.702496822,Amp,FALSE,,,,,3,8,78.75460815,,,
I7,FALSE,45,Target 1,Unknown,SYBR,12.89330861,0.980785922,1.71607625,Amp,FALSE,,,,,3,8,78.75460815,,,
G9,FALSE,46,Target 1,Unknown,SYBR,12.64318009,0.977090359,1.717537371,Amp,FALSE,12.97,0.34,2.63,1.09,3,8,78.889328,,,
H9,FALSE,46,Target 1,Unknown,SYBR,12.94715058,0.973237554,1.718867375,Amp,FALSE,,,,,3,7,78.61987305,,,
I9,FALSE,46,Target 1,Unknown,SYBR,13.32474161,0.986911555,1.719910056,Amp,FALSE,,,,,3,8,78.61987305,,,
G11,FALSE,47,Target 1,Unknown,SYBR,12.9411087,0.988598512,1.723796798,Amp,FALSE,13.18,0.23,1.77,1.1,3,8,78.75460815,,,
H11,FALSE,47,Target 1,Unknown,SYBR,13.40641791,0.991095002,1.71998484,Amp,FALSE,,,,,3,8,78.61987305,,,
I11,FALSE,47,Target 1,Unknown,SYBR,13.18754074,0.972669447,1.720136322,Amp,FALSE,,,,,3,8,78.75460815,,,
G13,FALSE,48,Target 1,Unknown,SYBR,12.5674677,0.981769129,1.71326983,Amp,FALSE,12.75,0.27,2.09,1.07,3,8,78.75322723,,,
H13,FALSE,48,Target 1,Unknown,SYBR,12.62193529,0.986802223,1.721727207,Amp,FALSE,,,,,3,7,78.75322723,,,
I13,FALSE,48,Target 1,Unknown,SYBR,13.05313802,0.98162225,1.697889127,Amp,FALSE,,,,,3,7,78.61846161,,,
G15,FALSE,49,Target 1,Unknown,SYBR,12.81895405,0.980350686,1.722374243,Amp,FALSE,13.19,0.32,2.43,1.1,3,8,78.75322723,,,
H15,FALSE,49,Target 1,Unknown,SYBR,13.35625826,0.98760647,1.721537181,Amp,FALSE,,,,,3,7,78.48369598,,,
I15,FALSE,49,Target 1,Unknown,SYBR,13.39020626,0.970155948,1.727093613,Amp,FALSE,,,,,3,8,78.61846161,,,
G17,FALSE,50,Target 1,Unknown,SYBR,12.7760176,0.986125309,1.723984442,Amp,FALSE,12.93,0.52,4.05,1.08,3,8,78.75322723,,,
H17,FALSE,50,Target 1,Unknown,SYBR,12.49505505,0.989540693,1.742850177,Amp,FALSE,,,,,3,7,78.61846161,,,
I17,FALSE,50,Target 1,Unknown,SYBR,13.50975724,0.979216215,1.717643648,Amp,FALSE,,,,,3,8,78.48369598,,,
G19,FALSE,51,Target 1,Unknown,SYBR,13.06578335,0.986919864,1.718028096,Amp,FALSE,13.51,0.43,3.19,1.13,3,7,78.88799286,,,
H19,FALSE,51,Target 1,Unknown,SYBR,13.54559173,0.98842852,1.719469769,Amp,FALSE,,,,,3,8,78.75322723,,,
I19,FALSE,51,Target 1,Unknown,SYBR,13.92574279,0.985396487,1.718807118,Amp,FALSE,,,,,3,8,78.61846161,,,
G21,FALSE,52,Target 1,Unknown,SYBR,14.10052089,0.974824775,1.716361297,Amp,FALSE,14.44,0.33,2.29,1.21,3,8,78.75322723,,,
H21,FALSE,52,Target 1,Unknown,SYBR,14.46675848,0.989873412,1.706947799,Amp,FALSE,,,,,3,8,78.75322723,,,
I21,FALSE,52,Target 1,Unknown,SYBR,14.75998827,0.973874141,1.679213856,Amp,FALSE,,,,,3,9,78.75322723,,,
G23,FALSE,53,Target 1,Unknown,SYBR,14.11369282,0.990599824,1.718641606,Amp,FALSE,14.38,0.24,1.64,1.20,3,9,78.75322723,,,
H23,FALSE,53,Target 1,Unknown,SYBR,14.47156166,0.986561543,1.708505176,Amp,FALSE,,,,,3,8,78.75322723,,,
I23,FALSE,53,Target 1,Unknown,SYBR,14.56052619,0.992290849,1.706427291,Amp,FALSE,,,,,3,10,78.61846161,,,
G2,FALSE,54,Target 1,Unknown,SYBR,13.17713383,0.98159055,1.708103538,Amp,FALSE,12.93,0.28,2.16,1.08,3,7,78.75460815,,,
H2,FALSE,54,Target 1,Unknown,SYBR,12.62668552,0.989984954,1.712038763,Amp,FALSE,,,,,3,7,78.889328,,,
I2,FALSE,54,Target 1,Unknown,SYBR,12.98384059,0.992843014,1.718609098,Amp,FALSE,,,,,3,7,78.75460815,,,
G4,FALSE,55,Target 1,Unknown,SYBR,14.0367064,0.981878803,1.721034109,Amp,FALSE,14.21,0.16,1.11,1.19,3,8,78.75460815,,,
H4,FALSE,55,Target 1,Unknown,SYBR,14.24385801,0.985993262,1.714815463,Amp,FALSE,,,,,3,7,78.75460815,,,
I4,FALSE,55,Target 1,Unknown,SYBR,14.34497971,0.989597162,1.719229716,Amp,FALSE,,,,,3,8,78.61987305,,,
G6,FALSE,56,Target 1,Unknown,SYBR,11.70476778,0.990558073,1.709530689,Amp,FALSE,11.82,0.13,1.1,0.99,3,6,78.889328,,,
H6,FALSE,56,Target 1,Unknown,SYBR,11.78836013,0.983807374,1.715724622,Amp,FALSE,,,,,3,6,78.889328,,,
I6,FALSE,56,Target 1,Unknown,SYBR,11.95910478,0.991405169,1.720274774,Amp,FALSE,,,,,3,6,78.75460815,,,
G8,FALSE,57,Target 1,Unknown,SYBR,12.64494303,0.990650382,1.725614398,Amp,FALSE,12.86,0.32,2.48,1.08,3,7,78.75460815,,,
H8,FALSE,57,Target 1,Unknown,SYBR,12.70009056,0.985181553,1.725640123,Amp,FALSE,,,,,3,7,78.75460815,,,
I8,FALSE,57,Target 1,Unknown,SYBR,13.22344284,0.985883196,1.723185531,Amp,FALSE,,,,,3,7,78.61987305,,,
G10,FALSE,58,Target 1,Unknown,SYBR,13.01981853,0.986414873,1.7283912,Amp,FALSE,13.27,0.34,2.59,1.11,3,7,78.61987305,,,
H10,FALSE,58,Target 1,Unknown,SYBR,13.12599033,0.985660769,1.710132957,Amp,FALSE,,,,,3,7,78.75460815,,,
I10,FALSE,58,Target 1,Unknown,SYBR,13.66153303,0.98240667,1.743184212,Amp,FALSE,,,,,3,7,78.61987305,,,
G12,FALSE,59,Target 1,Unknown,SYBR,12.88976946,0.982709283,1.719942934,Amp,FALSE,12.96,0.13,1.01,1.09,3,7,78.61987305,,,
H12,FALSE,59,Target 1,Unknown,SYBR,12.86908474,0.995798162,1.725014184,Amp,FALSE,,,,,3,7,78.61987305,,,
I12,FALSE,59,Target 1,Unknown,SYBR,13.10640486,0.985667846,1.734164812,Amp,FALSE,,,,,3,7,78.61987305,,,
G14,FALSE,60,Target 1,Unknown,SYBR,12.65873775,0.979007817,1.724250048,Amp,FALSE,13.04,0.34,2.58,1.09,3,7,78.75322723,,,
H14,FALSE,60,Target 1,Unknown,SYBR,13.15833326,0.979934718,1.737799057,Amp,FALSE,,,,,3,8,78.48369598,,,
I14,FALSE,60,Target 1,Unknown,SYBR,13.30008544,0.982870867,1.722097787,Amp,FALSE,,,,,3,7,78.48369598,,,
G16,FALSE,61,Target 1,Unknown,SYBR,13.07620651,0.970206161,1.721994553,Amp,FALSE,13.12,0.2,1.56,1.1,3,7,78.61846161,,,
H16,FALSE,61,Target 1,Unknown,SYBR,12.93368619,0.989211993,1.727926477,Amp,FALSE,,,,,3,7,78.61846161,,,
I16,FALSE,61,Target 1,Unknown,SYBR,13.33665863,0.980108452,1.72549334,Amp,FALSE,,,,,3,8,78.61846161,,,
G18,FALSE,62,Target 1,Unknown,SYBR,14.46153184,0.989566214,1.725045178,Amp,FALSE,14.67,0.19,1.26,1.23,3,8,78.34893036,,,
H18,FALSE,62,Target 1,Unknown,SYBR,14.71930928,0.988583646,1.727535356,Amp,FALSE,,,,,3,8,78.34893036,,,
I18,FALSE,62,Target 1,Unknown,SYBR,14.820351,0.990588643,1.7270505,Amp,FALSE,,,,,3,8,78.34893036,,,
G20,FALSE,63,Target 1,Unknown,SYBR,12.29446683,0.97882747,1.710536057,Amp,FALSE,12.54,0.29,2.31,1.05,3,6,78.75322723,,,
H20,FALSE,63,Target 1,Unknown,SYBR,12.46180245,0.969117304,1.708571273,Amp,FALSE,,,,,3,8,78.75322723,,,
