Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,false,122,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,73.24175262451172,89.6966323852539,86.72936248779297,82.413330078125,,
A2,false,6,Target 1,Unknown,SYBR,22.50969854721108,0.9953723835640844,1.6610829240073648,Amp,false,3,16,76.34390258789062,,,,,
A3,false,123,Target 1,Unknown,SYBR,20.86052755812657,0.9681397769068429,1.6262775648552699,Amp,false,3,15,76.34390258789062,,,,,
A4,false,7,Target 1,Unknown,SYBR,21.866188828488,0.993660041499998,1.6536915567425585,Amp,false,3,15,76.34390258789062,,,,,
A5,false,124,Target 1,Unknown,SYBR,21.22788981121697,0.9908566100518897,1.6473191995778307,Amp,false,3,15,76.20903015136719,,,,,
A6,false,8,Target 1,Unknown,SYBR,21.99139900755913,0.9942279219234343,1.638592625904804,Amp,false,3,16,76.20903015136719,,,,,
A7,false,125,Target 1,Unknown,SYBR,22.58827562585558,0.9896521338866768,1.6235411402658118,Amp,false,3,15,76.20903015136719,,,,,
A8,false,9,Target 1,Unknown,SYBR,22.582222337248595,0.9947078580183695,1.6544216628093191,Amp,false,3,17,76.20903015136719,,,,,
A9,false,126,Target 1,Unknown,SYBR,23.581213748916724,0.9949018010152468,1.6406217026708356,Amp,false,3,17,76.20903015136719,,,,,
A10,false,10,Target 1,Unknown,SYBR,22.866811755822283,0.9783677678893993,1.6358469262686288,Amp,false,3,17,76.20903015136719,,,,,
A11,false,127,Target 1,Unknown,SYBR,24.943267895347034,0.9964849802159695,1.6460929061060738,Amp,false,3,18,76.20903015136719,,,,,
A12,false,11,Target 1,Unknown,SYBR,22.029244868357168,0.9931882988863527,1.6139165070515282,Amp,false,3,16,76.07415008544922,,,,,
A13,false,128,Target 1,Unknown,SYBR,22.491803392249665,0.9946706792635405,1.6621106913460184,Amp,false,3,16,76.20458984375,,,,,
A14,false,12,Target 1,Unknown,SYBR,22.755026476095473,0.997229516398616,1.662581567636567,Amp,false,3,17,76.20458984375,,,,,
A15,false,1,Target 1,Unknown,SYBR,21.805503442230247,0.9909685939441328,1.620101946377442,Amp,false,3,16,76.06971740722656,,,,,
A16,false,13,Target 1,Unknown,SYBR,21.86099667702976,0.9958442618035825,1.6698273868850868,Amp,false,3,16,76.20458984375,,,,,
A17,false,2,Target 1,Unknown,SYBR,22.840792109654522,0.9956650682051682,1.6704038624875495,Amp,false,3,16,76.20458984375,,,,,
A18,false,14,Target 1,Unknown,SYBR,22.028541610880318,0.9926163130583248,1.6632858388261538,Amp,false,3,16,76.20458984375,,,,,
A19,false,3,Target 1,Unknown,SYBR,21.745099377262434,0.9912263040420043,1.6577272659159017,Amp,false,3,16,76.20458984375,,,,,
A20,false,15,Target 1,Unknown,SYBR,22.551355913909426,0.9905708631020349,1.6641610330895973,Amp,false,3,17,76.20458984375,,,,,
A21,false,4,Target 1,Unknown,SYBR,21.53514809603317,0.9738612758746755,1.628099334410514,Amp,false,3,12,76.20458984375,,,,,
A22,false,16,Target 1,Unknown,SYBR,23.125833173311428,0.9874375841155766,1.631155420195989,Amp,false,3,17,76.20458984375,,,,,
A23,false,5,Target 1,Unknown,SYBR,23.473634569961163,0.9912502934724986,1.629850038427236,Amp,false,3,17,76.33944702148438,,,,,
A24,false,17,Target 1,Unknown,SYBR,23.03382673905405,0.9932117855013681,1.6424696615699443,Amp,false,3,17,76.20458984375,,,,,
B1,false,122,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,72.97200012207031,92.25927734375,88.48274993896484,64.07018280029297,,
B2,false,6,Target 1,Unknown,SYBR,22.613328629603423,0.9930173404780374,1.6530898729766932,Amp,false,3,16,76.20903015136719,,,,,
B3,false,123,Target 1,Unknown,SYBR,20.80128475606662,0.9914323489908845,1.6481883723395816,Amp,false,3,15,76.34390258789062,,,,,
B4,false,7,Target 1,Unknown,SYBR,21.818910641657652,0.9942624789699025,1.6629231339897639,Amp,false,3,16,76.34390258789062,,,,,
B5,false,124,Target 1,Unknown,SYBR,21.517222869780653,0.9922320757003521,1.6430574210767022,Amp,false,3,14,76.20903015136719,,,,,
B6,false,8,Target 1,Unknown,SYBR,21.808722492610634,0.9957012529776956,1.6462899121330183,Amp,false,3,15,76.20903015136719,,,,,
B7,false,125,Target 1,Unknown,SYBR,22.53563568711622,0.9945414058298713,1.6455209453203823,Amp,false,3,16,76.20903015136719,,,,,
B8,false,9,Target 1,Unknown,SYBR,22.70350501057588,0.9955107930430775,1.6490233977999567,Amp,false,3,16,76.20903015136719,,,,,
B9,false,126,Target 1,Unknown,SYBR,23.506136447657624,0.9950082966779127,1.6454826731144172,Amp,false,3,17,76.20903015136719,,,,,
B10,false,10,Target 1,Unknown,SYBR,22.63674424960162,0.9945940708724739,1.6505272415498229,Amp,false,3,17,76.20903015136719,,,,,
