Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Cq_mu,Cq_sd,cq_cv,Cq_relative,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A15,FALSE,1,Target 1,Unknown,SYBR,24.96268861,0.995185815,1.642566454,Amp,FALSE,24.96,0.01,0.04,1.26,3,19,76.05576324,,,,,
B15,FALSE,1,Target 1,Unknown,SYBR,24.95556484,0.996632047,1.669412103,Amp,FALSE,,,,,3,19,76.19050598,,,,,
C15,FALSE,1,Target 1,Unknown,SYBR,24.97638782,0.985789562,1.678137976,Amp,FALSE,,,,,3,19,76.05576324,,,,,
A17,FALSE,2,Target 1,Unknown,SYBR,22.97232392,0.996193031,1.672672587,Amp,FALSE,23.16,0.21,0.91,1.17,3,17,76.19050598,,,,,
B17,FALSE,2,Target 1,Unknown,SYBR,23.390555,0.97871765,1.643233349,Amp,FALSE,,,,,3,18,76.05576324,,,,,
C17,FALSE,2,Target 1,Unknown,SYBR,23.12759495,0.993801034,1.670569355,Amp,FALSE,,,,,3,17,76.19050598,,,,,
A19,FALSE,3,Target 1,Unknown,SYBR,21.59529617,0.991133657,1.661599439,Amp,FALSE,21.74,0.13,0.6,1.1,3,16,76.19050598,,,,,
B19,FALSE,3,Target 1,Unknown,SYBR,21.83844923,0.989519224,1.664958129,Amp,FALSE,,,,,3,17,76.19050598,,,,,
C19,FALSE,3,Target 1,Unknown,SYBR,21.79496937,0.988208702,1.661777933,Amp,FALSE,,,,,3,16,76.19050598,,,,,
A21,FALSE,4,Target 1,Unknown,SYBR,22.64038859,0.865752751,1.596549746,Amp,FALSE,22.2,0.41,1.85,1.12,3,18,76.32525635,,,,,
B21,FALSE,4,Target 1,Unknown,SYBR,21.83088298,0.990056326,1.662540144,Amp,FALSE,,,,,3,16,76.32525635,,,,,
C21,FALSE,4,Target 1,Unknown,SYBR,22.12224636,0.950887958,1.650170454,Amp,FALSE,,,,,3,17,76.19050598,,,,,
A23,FALSE,5,Target 1,Unknown,SYBR,24.04212124,0.989319615,1.635048274,Amp,FALSE,24.16,0.19,0.77,1.22,3,18,76.32525635,,,,,
B23,FALSE,5,Target 1,Unknown,SYBR,24.07241591,0.985659057,1.651370299,Amp,FALSE,,,,,3,18,76.19050598,,,,,
C23,FALSE,5,Target 1,Unknown,SYBR,24.37981635,0.895142283,1.636168614,Amp,FALSE,,,,,3,19,76.19050598,,,,,
A2,FALSE,6,Target 1,Unknown,SYBR,22.30621959,0.990082021,1.668804307,Amp,FALSE,22.42,0.15,0.65,1.13,3,17,76.19128418,,,,,
B2,FALSE,6,Target 1,Unknown,SYBR,22.37682181,0.991750327,1.666340665,Amp,FALSE,,,,,3,16,76.19128418,,,,,
C2,FALSE,6,Target 1,Unknown,SYBR,22.58608859,0.969694478,1.648918046,Amp,FALSE,,,,,3,18,76.19128418,,,,,
A4,FALSE,7,Target 1,Unknown,SYBR,21.65630734,0.994122653,1.654747271,Amp,FALSE,21.7,0.04,0.19,1.1,3,16,76.32601166,,,,,
B4,FALSE,7,Target 1,Unknown,SYBR,21.71645635,0.994648764,1.678021867,Amp,FALSE,,,,,3,16,76.19128418,,,,,
C4,FALSE,7,Target 1,Unknown,SYBR,21.7335045,0.980984269,1.676065757,Amp,FALSE,,,,,3,16,76.19128418,,,,,
A6,FALSE,8,Target 1,Unknown,SYBR,27.01744552,0.990284033,1.648859952,Amp,FALSE,27.06,0.04,0.14,1.37,3,21,76.19128418,,,,,
B6,FALSE,8,Target 1,Unknown,SYBR,27.07991523,0.963473023,1.661773128,Amp,FALSE,,,,,3,21,76.19128418,,,,,
C6,FALSE,8,Target 1,Unknown,SYBR,27.08717366,0.992908621,1.665025783,Amp,FALSE,,,,,3,21,76.19128418,,,,,
A8,FALSE,9,Target 1,Unknown,SYBR,21.95637637,0.996401422,1.666007413,Amp,FALSE,22.04,0.07,0.34,1.11,3,16,76.19128418,,,,,
B8,FALSE,9,Target 1,Unknown,SYBR,22.08556789,0.993637003,1.660666597,Amp,FALSE,,,,,3,16,76.19128418,,,,,
C8,FALSE,9,Target 1,Unknown,SYBR,22.0867365,0.994193243,1.662503006,Amp,FALSE,,,,,3,16,76.19128418,,,,,
A10,FALSE,10,Target 1,Unknown,SYBR,22.2309056,0.986309281,1.634436393,Amp,FALSE,22.18,0.05,0.21,1.12,3,16,76.19128418,,,,,
B10,FALSE,10,Target 1,Unknown,SYBR,22.16402432,0.995972618,1.656340276,Amp,FALSE,,,,,3,16,76.19128418,,,,,
C10,FALSE,10,Target 1,Unknown,SYBR,22.14398239,0.995199113,1.661734863,Amp,FALSE,,,,,3,16,76.05654907,,,,,
A12,FALSE,11,Target 1,Unknown,SYBR,26.26984783,0.996062592,1.62733417,Amp,FALSE,26.03,0.23,0.9,1.32,3,20,76.05654907,,,,,
B12,FALSE,11,Target 1,Unknown,SYBR,26.00023485,0.995408298,1.659058664,Amp,FALSE,,,,,3,20,76.05654907,,,,,
C12,FALSE,11,Target 1,Unknown,SYBR,25.80583989,0.987830399,1.66664279,Amp,FALSE,,,,,3,19,76.05654907,,,,,
A14,FALSE,12,Target 1,Unknown,SYBR,21.81186167,0.995822611,1.661234126,Amp,FALSE,21.82,0.1,0.46,1.1,3,16,76.19050598,,,,,
B14,FALSE,12,Target 1,Unknown,SYBR,21.92354822,0.995526316,1.656835146,Amp,FALSE,,,,,3,16,76.05576324,,,,,
C14,FALSE,12,Target 1,Unknown,SYBR,21.72109667,0.991508911,1.659695509,Amp,FALSE,,,,,3,16,75.92102051,,,,,
A16,FALSE,13,Target 1,Unknown,SYBR,21.81740628,0.996334079,1.660681598,Amp,FALSE,21.84,0.06,0.28,1.1,3,16,76.05576324,,,,,
B16,FALSE,13,Target 1,Unknown,SYBR,21.79846116,0.99670881,1.664975415,Amp,FALSE,,,,,3,16,76.05576324,,,,,
C16,FALSE,13,Target 1,Unknown,SYBR,21.91198321,0.99428087,1.665284566,Amp,FALSE,,,,,3,16,76.05576324,,,,,
A18,FALSE,14,Target 1,Unknown,SYBR,23.04271852,0.992975314,1.658419203,Amp,FALSE,22.92,0.14,0.61,1.16,3,17,76.05576324,,,,,
B18,FALSE,14,Target 1,Unknown,SYBR,22.95786597,0.995508921,1.662942551,Amp,FALSE,,,,,3,17,76.05576324,,,,,
C18,FALSE,14,Target 1,Unknown,SYBR,22.76911683,0.991137901,1.662300425,Amp,FALSE,,,,,3,15,76.05576324,,,,,
A20,FALSE,15,Target 1,Unknown,SYBR,25.47652291,0.994144214,1.580745376,Amp,FALSE,25.42,0.05,0.19,1.29,3,19,75.78627014,,,,,
B20,FALSE,15,Target 1,Unknown,SYBR,25.4179878,0.994368287,1.656354123,Amp,FALSE,,,,,3,19,76.19050598,,,,,
C20,FALSE,15,Target 1,Unknown,SYBR,25.38004177,0.989157552,1.663462672,Amp,FALSE,,,,,3,19,76.19050598,,,,,
A22,FALSE,16,Target 1,Unknown,SYBR,22.63822989,0.996112705,1.633057802,Amp,FALSE,22.7,0.1,0.45,1.15,3,17,76.19050598,,,,,
B22,FALSE,16,Target 1,Unknown,SYBR,22.82014292,0.989437096,1.62375007,Amp,FALSE,,,,,3,18,76.19050598,,,,,
C22,FALSE,16,Target 1,Unknown,SYBR,22.64928731,0.981593696,1.647628765,Amp,FALSE,,,,,3,17,76.19050598,,,,,
A24,FALSE,17,Target 1,Unknown,SYBR,21.58575058,0.981725165,1.64725339,Amp,FALSE,21.82,0.31,1.44,1.1,3,16,76.32525635,,,,,
B24,FALSE,17,Target 1,Unknown,SYBR,22.18138073,0.905643696,1.636762486,Amp,FALSE,,,,,3,18,76.32525635,,,,,
C24,FALSE,17,Target 1,Unknown,SYBR,21.70720971,0.977610219,1.649217439,Amp,FALSE,,,,,3,17,76.32525635,,,,,
D1,FALSE,18,Target 1,Unknown,SYBR,21.74656093,0.982321612,1.65537265,Amp,FALSE,21.85,0.11,0.5,1.1,3,16,76.32601166,,,,,
E1,FALSE,18,Target 1,Unknown,SYBR,21.83240975,0.994487922,1.647379342,Amp,FALSE,,,,,3,16,76.32601166,,,,,
F1,FALSE,18,Target 1,Unknown,SYBR,21.96159332,0.995832455,1.641928631,Amp,FALSE,,,,,3,16,76.19128418,,,,,
D3,FALSE,19,Target 1,Unknown,SYBR,24.27207288,0.980636903,1.64346049,Amp,FALSE,24.15,0.11,0.46,1.22,3,18,76.32601166,,,,,
E3,FALSE,19,Target 1,Unknown,SYBR,24.05431236,0.993489346,1.661645524,Amp,FALSE,,,,,3,17,76.32601166,,,,,
F3,FALSE,19,Target 1,Unknown,SYBR,24.12768938,0.994220838,1.669440249,Amp,FALSE,,,,,3,18,76.19128418,,,,,
D5,FALSE,20,Target 1,Unknown,SYBR,21.78412197,0.980081878,1.666908445,Amp,FALSE,21.82,0.04,0.18,1.1,3,16,76.19128418,,,,,
E5,FALSE,20,Target 1,Unknown,SYBR,21.82447446,0.994313846,1.665665713,Amp,FALSE,,,,,3,16,76.19128418,,,,,
F5,FALSE,20,Target 1,Unknown,SYBR,21.86114025,0.994427745,1.657781327,Amp,FALSE,,,,,3,15,76.19128418,,,,,
D7,FALSE,21,Target 1,Unknown,SYBR,21.46026864,0.993767566,1.672718701,Amp,FALSE,21.54,0.07,0.34,1.09,3,16,76.19128418,,,,,
E7,FALSE,21,Target 1,Unknown,SYBR,21.57522233,0.984948662,1.670981038,Amp,FALSE,,,,,3,15,76.19128418,,,,,
F7,FALSE,21,Target 1,Unknown,SYBR,21.59842273,0.992609918,1.661744738,Amp,FALSE,,,,,3,16,76.19128418,,,,,
D9,FALSE,22,Target 1,Unknown,SYBR,21.77196493,0.995139277,1.670973393,Amp,FALSE,21.79,0.02,0.09,1.1,3,16,76.19128418,,,,,
E9,FALSE,22,Target 1,Unknown,SYBR,21.81079516,0.996200944,1.672631928,Amp,FALSE,,,,,3,16,76.19128418,,,,,
F9,FALSE,22,Target 1,Unknown,SYBR,21.80124679,0.995260171,1.668734464,Amp,FALSE,,,,,3,16,76.19128418,,,,,
D11,FALSE,23,Target 1,Unknown,SYBR,21.3435008,0.994988389,1.670920227,Amp,FALSE,21.49,0.13,0.61,1.09,3,15,76.19128418,,,,,
E11,FALSE,23,Target 1,Unknown,SYBR,21.56453577,0.99334468,1.655369815,Amp,FALSE,,,,,3,16,76.19128418,,,,,
F11,FALSE,23,Target 1,Unknown,SYBR,21.57467965,0.992565349,1.678366382,Amp,FALSE,,,,,3,15,76.19128418,,,,,
D13,FALSE,24,Target 1,Unknown,SYBR,21.05205319,0.993097354,1.662684987,Amp,FALSE,21.05,0.08,0.4,1.06,3,15,76.19050598,,,,,
E13,FALSE,24,Target 1,Unknown,SYBR,21.13925267,0.991063268,1.647695667,Amp,FALSE,,,,,3,14,76.05576324,,,,,
F13,FALSE,24,Target 1,Unknown,SYBR,20.97195774,0.99480022,1.666422758,Amp,FALSE,,,,,3,16,76.19050598,,,,,
D15,FALSE,25,Target 1,Unknown,SYBR,21.29507507,0.995432469,1.666904293,Amp,FALSE,21.39,0.08,0.38,1.08,3,16,76.19050598,,,,,
E15,FALSE,25,Target 1,Unknown,SYBR,21.4427573,0.993717483,1.666833805,Amp,FALSE,,,,,3,15,76.05576324,,,,,
F15,FALSE,25,Target 1,Unknown,SYBR,21.43019534,0.994545991,1.654639314,Amp,FALSE,,,,,3,16,76.05576324,,,,,
D17,FALSE,26,Target 1,Unknown,SYBR,21.37552633,0.99473989,1.668328374,Amp,FALSE,21.4,0.04,0.21,1.08,3,15,76.19050598,,,,,
E17,FALSE,26,Target 1,Unknown,SYBR,21.44650274,0.982868288,1.665733196,Amp,FALSE,,,,,3,16,76.19050598,,,,,
F17,FALSE,26,Target 1,Unknown,SYBR,21.36596303,0.991772693,1.670711159,Amp,FALSE,,,,,3,16,76.19050598,,,,,
D19,FALSE,27,Target 1,Unknown,SYBR,21.68828126,0.900693367,1.641531097,Amp,FALSE,21.51,0.18,0.85,1.09,3,16,76.05576324,,,,,
E19,FALSE,27,Target 1,Unknown,SYBR,21.51673886,0.992598587,1.662097304,Amp,FALSE,,,,,3,16,76.05576324,,,,,
F19,FALSE,27,Target 1,Unknown,SYBR,21.3244584,0.9889016,1.678566886,Amp,FALSE,,,,,3,16,76.19050598,,,,,
D21,FALSE,28,Target 1,Unknown,SYBR,21.36077845,0.932214077,1.647167419,Amp,FALSE,21.42,0.09,0.4,1.08,3,16,76.32525635,,,,,
E21,FALSE,28,Target 1,Unknown,SYBR,21.38982593,0.991865006,1.655295329,Amp,FALSE,,,,,3,15,76.19050598,,,,,
F21,FALSE,28,Target 1,Unknown,SYBR,21.52064646,0.986070646,1.660543983,Amp,FALSE,,,,,3,16,76.32525635,,,,,
D23,FALSE,29,Target 1,Unknown,SYBR,22.08408582,0.956527479,1.657284076,Amp,FALSE,22.26,0.15,0.67,1.13,3,17,76.32525635,,,,,
E23,FALSE,29,Target 1,Unknown,SYBR,22.32043473,0.983310574,1.620754547,Amp,FALSE,,,,,3,16,76.19050598,,,,,
F23,FALSE,29,Target 1,Unknown,SYBR,22.36214496,0.951407066,1.650699933,Amp,FALSE,,,,,3,17,76.32525635,,,,,
D2,FALSE,30,Target 1,Unknown,SYBR,21.40265012,0.987518872,1.645620505,Amp,FALSE,21.5,0.08,0.39,1.09,3,16,76.32601166,,,,,
E2,FALSE,30,Target 1,Unknown,SYBR,21.56079239,0.995461668,1.636312118,Amp,FALSE,,,,,3,16,76.19128418,,,,,
F2,FALSE,30,Target 1,Unknown,SYBR,21.52648748,0.992619231,1.652045342,Amp,FALSE,,,,,3,16,76.19128418,,,,,
D4,FALSE,31,Target 1,Unknown,SYBR,21.64535057,0.993460473,1.668757742,Amp,FALSE,21.76,0.13,0.59,1.1,3,16,76.32601166,,,,,
E4,FALSE,31,Target 1,Unknown,SYBR,21.73402038,0.985349163,1.660491341,Amp,FALSE,,,,,3,16,76.32601166,,,,,
F4,FALSE,31,Target 1,Unknown,SYBR,21.89694539,0.993136527,1.65139777,Amp,FALSE,,,,,3,16,76.19128418,,,,,
D6,FALSE,32,Target 1,Unknown,SYBR,20.95595592,0.995998068,1.663596555,Amp,FALSE,21.09,0.12,0.55,1.07,3,15,76.32601166,,,,,
E6,FALSE,32,Target 1,Unknown,SYBR,21.15952276,0.992236884,1.663965036,Amp,FALSE,,,,,3,15,76.19128418,,,,,
F6,FALSE,32,Target 1,Unknown,SYBR,21.15288475,0.993491974,1.663662443,Amp,FALSE,,,,,3,15,76.19128418,,,,,
D8,FALSE,33,Target 1,Unknown,SYBR,21.35387134,0.98941919,1.665827056,Amp,FALSE,21.35,0.02,0.07,1.08,3,15,76.19128418,,,,,
E8,FALSE,33,Target 1,Unknown,SYBR,21.33457822,0.988698481,1.671126505,Amp,FALSE,,,,,3,16,76.19128418,,,,,
F8,FALSE,33,Target 1,Unknown,SYBR,21.36422078,0.993659047,1.675292539,Amp,FALSE,,,,,3,16,76.19128418,,,,,
D10,FALSE,34,Target 1,Unknown,SYBR,21.25132716,0.993633334,1.674871834,Amp,FALSE,21.36,0.1,0.46,1.08,3,16,76.19128418,,,,,
E10,FALSE,34,Target 1,Unknown,SYBR,21.39466558,0.992235319,1.64696313,Amp,FALSE,,,,,3,16,76.19128418,,,,,
F10,FALSE,34,Target 1,Unknown,SYBR,21.44025444,0.994862448,1.673951417,Amp,FALSE,,,,,3,16,76.05654907,,,,,
D12,FALSE,35,Target 1,Unknown,SYBR,21.28965862,0.995944519,1.671138958,Amp,FALSE,21.36,0.08,0.39,1.08,3,16,76.05654907,,,,,
E12,FALSE,35,Target 1,Unknown,SYBR,21.34862613,0.994213991,1.674658848,Amp,FALSE,,,,,3,16,76.05654907,,,,,
F12,FALSE,35,Target 1,Unknown,SYBR,21.45489849,0.994105702,1.67174271,Amp,FALSE,,,,,3,16,76.05654907,,,,,
D14,FALSE,36,Target 1,Unknown,SYBR,21.02319736,0.992434901,1.660847735,Amp,FALSE,20.92,0.22,1.04,1.06,3,15,76.19050598,,,,,
E14,FALSE,36,Target 1,Unknown,SYBR,20.6725202,0.98783328,1.658826298,Amp,FALSE,,,,,3,12,76.19050598,,,,,
F14,FALSE,36,Target 1,Unknown,SYBR,21.07181647,0.993892877,1.673465224,Amp,FALSE,,,,,3,15,76.05576324,,,,,
D16,FALSE,37,Target 1,Unknown,SYBR,21.2957611,0.99306783,1.672148908,Amp,FALSE,21.33,0.11,0.51,1.08,3,16,76.19050598,,,,,
E16,FALSE,37,Target 1,Unknown,SYBR,21.25057174,0.992209978,1.676792452,Amp,FALSE,,,,,3,16,76.19050598,,,,,
F16,FALSE,37,Target 1,Unknown,SYBR,21.45725345,0.990732687,1.675832429,Amp,FALSE,,,,,3,16,76.05576324,,,,,
D18,FALSE,38,Target 1,Unknown,SYBR,21.43437515,0.986931153,1.665276585,Amp,FALSE,21.55,0.19,0.86,1.09,3,16,76.19050598,,,,,
E18,FALSE,38,Target 1,Unknown,SYBR,21.45403999,0.989850841,1.669348258,Amp,FALSE,,,,,3,16,76.19050598,,,,,
F18,FALSE,38,Target 1,Unknown,SYBR,21.76541427,0.853749686,1.647285,Amp,FALSE,,,,,3,16,76.19050598,,,,,
D20,FALSE,39,Target 1,Unknown,SYBR,22.34256849,0.983977092,1.659315523,Amp,FALSE,22.42,0.11,0.49,1.13,3,17,76.32525635,,,,,
E20,FALSE,39,Target 1,Unknown,SYBR,22.38345399,0.995930887,1.665476682,Amp,FALSE,,,,,3,17,76.32525635,,,,,
F20,FALSE,39,Target 1,Unknown,SYBR,22.54815018,0.992224456,1.670629957,Amp,FALSE,,,,,3,17,76.32525635,,,,,
D22,FALSE,40,Target 1,Unknown,SYBR,22.29823874,0.983356772,1.649088881,Amp,FALSE,22.3,0.14,0.64,1.13,3,17,76.32525635,,,,,
E22,FALSE,40,Target 1,Unknown,SYBR,22.44628903,0.958417078,1.646453259,Amp,FALSE,,,,,3,17,76.32525635,,,,,
F22,FALSE,40,Target 1,Unknown,SYBR,22.15916798,0.984771864,1.661081081,Amp,FALSE,,,,,3,17,76.32525635,,,,,
D24,FALSE,41,Target 1,Unknown,SYBR,21.8565074,0.980262906,1.657517972,Amp,FALSE,21.89,0.03,0.14,1.11,3,17,76.32525635,,,,,
E24,FALSE,41,Target 1,Unknown,SYBR,21.91113271,0.992858601,1.648205359,Amp,FALSE,,,,,3,17,76.32525635,,,,,
F24,FALSE,41,Target 1,Unknown,SYBR,21.9065617,0.988613033,1.655438347,Amp,FALSE,,,,,3,16,76.32525635,,,,,
G1,FALSE,42,Target 1,Unknown,SYBR,21.83208441,0.986286934,1.655613322,Amp,FALSE,21.99,0.2,0.91,1.11,3,16,76.32601166,,,,,
H1,FALSE,42,Target 1,Unknown,SYBR,22.21471662,0.993586493,1.606184955,Amp,FALSE,,,,,3,16,76.32601166,,,,,
I1,FALSE,42,Target 1,Unknown,SYBR,21.91943395,0.9765921,1.652272538,Amp,FALSE,,,,,3,16,76.32601166,,,,,
G3,FALSE,43,Target 1,Unknown,SYBR,21.36359612,0.992707817,1.661222717,Amp,FALSE,21.45,0.09,0.4,1.08,3,16,76.32601166,,,,,
H3,FALSE,43,Target 1,Unknown,SYBR,21.4608842,0.990324766,1.670534727,Amp,FALSE,,,,,3,16,76.32601166,,,,,
I3,FALSE,43,Target 1,Unknown,SYBR,21.53318484,0.995334388,1.575489002,Amp,FALSE,,,,,3,16,76.19128418,,,,,
G5,FALSE,44,Target 1,Unknown,SYBR,21.80018152,0.99237345,1.656312541,Amp,FALSE,21.75,0.1,0.45,1.1,3,16,76.32601166,,,,,
H5,FALSE,44,Target 1,Unknown,SYBR,21.82115715,0.992514716,1.665328074,Amp,FALSE,,,,,3,16,76.19128418,,,,,
I5,FALSE,44,Target 1,Unknown,SYBR,21.64319563,0.991172451,1.660545126,Amp,FALSE,,,,,3,14,76.19128418,,,,,
G7,FALSE,45,Target 1,Unknown,SYBR,21.48785527,0.923608013,1.66389057,Amp,FALSE,21.28,0.19,0.88,1.08,3,15,76.32601166,,,,,
H7,FALSE,45,Target 1,Unknown,SYBR,21.21741534,0.992859227,1.656656756,Amp,FALSE,,,,,3,16,76.32601166,,,,,
I7,FALSE,45,Target 1,Unknown,SYBR,21.12770482,0.991887637,1.654019903,Amp,FALSE,,,,,3,15,76.19128418,,,,,
G9,FALSE,46,Target 1,Unknown,SYBR,21.1299824,0.992956887,1.668184933,Amp,FALSE,21.16,0.06,0.3,1.07,3,16,76.19128418,,,,,
H9,FALSE,46,Target 1,Unknown,SYBR,21.12179895,0.98698309,1.667617016,Amp,FALSE,,,,,3,16,76.19128418,,,,,
I9,FALSE,46,Target 1,Unknown,SYBR,21.23483818,0.993726238,1.669754857,Amp,FALSE,,,,,3,16,76.19128418,,,,,
G11,FALSE,47,Target 1,Unknown,SYBR,21.42683155,0.991160693,1.675263588,Amp,FALSE,20.11,2.29,11.38,1.02,3,16,76.19128418,,,,,
H11,FALSE,47,Target 1,Unknown,SYBR,21.4428503,0.993240699,1.66863463,Amp,FALSE,,,,,3,15,76.19128418,,,,,
I11,FALSE,47,Target 1,Unknown,SYBR,17.4693495,0.223376577,1.657365012,Amp,FALSE,,,,,3,16,76.05654907,,,,,
G13,FALSE,48,Target 1,Unknown,SYBR,21.58275591,0.989614479,1.656856033,Amp,FALSE,21.55,0.07,0.32,1.09,3,16,76.19050598,,,,,
H13,FALSE,48,Target 1,Unknown,SYBR,21.46554187,0.994583988,1.668445611,Amp,FALSE,,,,,3,16,76.19050598,,,,,
I13,FALSE,48,Target 1,Unknown,SYBR,21.58785771,0.995025255,1.646523313,Amp,FALSE,,,,,3,15,76.19050598,,,,,
G15,FALSE,49,Target 1,Unknown,SYBR,21.52242873,0.993078407,1.673006416,Amp,FALSE,21.54,0.03,0.12,1.09,3,16,76.19050598,,,,,
H15,FALSE,49,Target 1,Unknown,SYBR,21.56665951,0.993424282,1.669757534,Amp,FALSE,,,,,3,16,76.19050598,,,,,
I15,FALSE,49,Target 1,Unknown,SYBR,21.52206203,0.99428848,1.680457946,Amp,FALSE,,,,,3,16,76.19050598,,,,,
G17,FALSE,50,Target 1,Unknown,SYBR,21.55532539,0.993578088,1.671564766,Amp,FALSE,21.57,0.01,0.04,1.09,3,15,76.19050598,,,,,
H17,FALSE,50,Target 1,Unknown,SYBR,21.57013777,0.99392416,1.685141831,Amp,FALSE,,,,,3,16,76.19050598,,,,,
I17,FALSE,50,Target 1,Unknown,SYBR,21.57203192,0.994025993,1.660487113,Amp,FALSE,,,,,3,16,76.19050598,,,,,
G19,FALSE,51,Target 1,Unknown,SYBR,22.91127599,0.981012761,1.666420996,Amp,FALSE,23,0.14,0.6,1.16,3,16,76.32525635,,,,,
H19,FALSE,51,Target 1,Unknown,SYBR,22.93178719,0.996444556,1.666109528,Amp,FALSE,,,,,3,17,76.32525635,,,,,
I19,FALSE,51,Target 1,Unknown,SYBR,23.1607462,0.995848826,1.660563281,Amp,FALSE,,,,,3,17,76.19050598,,,,,
G21,FALSE,52,Target 1,Unknown,SYBR,23.16299553,0.991370863,1.659527705,Amp,FALSE,23.36,0.23,0.97,1.18,3,17,76.32525635,,,,,
