Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,false,122,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,71.61235046386719,92.24342346191406,84.28765106201172,81.72562408447266,,
A2,false,6,Target 1,Unknown,SYBR,23.841982536952152,0.9866736955475505,1.646197966982189,Amp,false,3,17,75.7925033569336,,,,,
A3,false,123,Target 1,Unknown,SYBR,21.049477943960383,0.967462603312506,1.63801849055831,Amp,false,3,15,76.06219482421875,,,,,
A4,false,7,Target 1,Unknown,SYBR,21.899519428032313,0.9956019705370824,1.6444971438226168,Amp,false,3,15,75.9273452758789,,,,,
A5,false,124,Target 1,Unknown,SYBR,21.826978704987923,0.9931955046707096,1.6674278149236406,Amp,false,3,16,75.9273452758789,,,,,
A6,false,8,Target 1,Unknown,SYBR,22.31551616989286,0.9940499723311101,1.6536631685796799,Amp,false,3,16,75.7925033569336,,,,,
A7,false,125,Target 1,Unknown,SYBR,23.06625372980357,0.9939212136957127,1.6559796810847112,Amp,false,3,17,75.9273452758789,,,,,
A8,false,9,Target 1,Unknown,SYBR,22.53064358698476,0.9952736750339224,1.6415497521411784,Amp,false,3,16,75.7925033569336,,,,,
A9,false,126,Target 1,Unknown,SYBR,23.862590464187726,0.9933996138317719,1.6539380352052095,Amp,false,3,17,75.9273452758789,,,,,
A10,false,10,Target 1,Unknown,SYBR,21.99247028062795,0.9855766575703482,1.6375143903325515,Amp,false,3,16,75.7925033569336,,,,,
A11,false,127,Target 1,Unknown,SYBR,25.174932870415418,0.9953355330082654,1.6650493107364166,Amp,false,3,19,75.9273452758789,,,,,
A12,false,11,Target 1,Unknown,SYBR,18.357711862880265,0.43655683437061504,1.633598124009709,Amp,false,3,12,75.7925033569336,,,,,
A13,false,128,Target 1,Unknown,SYBR,22.776521693192343,0.9967228119578656,1.6564757443604554,Amp,false,3,16,75.80232238769531,,,,,
A14,false,12,Target 1,Unknown,SYBR,21.90644114866275,0.9969768214097612,1.656264874568582,Amp,false,3,16,75.80232238769531,,,,,
A15,false,1,Target 1,Unknown,SYBR,22.299920642396913,0.99332894597549,1.615382800708563,Amp,false,3,17,75.66740417480469,,,,,
A16,false,13,Target 1,Unknown,SYBR,24.60032766253834,0.9935931161636972,1.616932237464629,Amp,false,3,17,75.66740417480469,,,,,
A17,false,2,Target 1,Unknown,SYBR,22.53612119485704,0.9945207216510984,1.634854901650089,Amp,false,3,16,75.80232238769531,,,,,
A18,false,14,Target 1,Unknown,SYBR,23.125482151794735,0.9914161177178938,1.6369311654562024,Amp,false,3,15,75.80232238769531,,,,,
A19,false,3,Target 1,Unknown,SYBR,22.007883250059052,0.985769224837265,1.651834375702808,Amp,false,3,16,75.93724060058594,,,,,
A20,false,15,Target 1,Unknown,SYBR,22.005613289191828,0.9931032595400257,1.634222671642427,Amp,false,3,16,75.80232238769531,,,,,
A21,false,4,Target 1,Unknown,SYBR,23.02987238402519,0.9671468994089005,1.5913154119064508,Amp,false,3,17,75.93724060058594,,,,,
A22,false,16,Target 1,Unknown,SYBR,23.177216781626612,0.993588961529815,1.5976129227507132,Amp,false,3,17,75.80232238769531,,,,,
A23,false,5,Target 1,Unknown,SYBR,22.506079288814625,0.9638555408789025,1.6261494845147166,Amp,false,3,17,75.93724060058594,,,,,
A24,false,17,Target 1,Unknown,SYBR,22.879237849907803,0.9922636324419647,1.6264958134606928,Amp,false,3,14,75.93724060058594,,,,,
B1,false,122,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,71.61235046386719,90.35562133789062,84.0179672241211,,,
B2,false,6,Target 1,Unknown,SYBR,25.545101882046893,0.9947244435883965,1.6483393954511931,Amp,false,3,18,75.7925033569336,,,,,
B3,false,123,Target 1,Unknown,SYBR,20.94359803328367,0.9867507084386036,1.6464701386265264,Amp,false,3,16,75.9273452758789,,,,,
B4,false,7,Target 1,Unknown,SYBR,22.15906350395239,0.9894632262322718,1.643785848505068,Amp,false,3,16,75.9273452758789,,,,,
B5,false,124,Target 1,Unknown,SYBR,21.89973486132957,0.9909467911952496,1.6599939135767772,Amp,false,3,16,75.9273452758789,,,,,
B6,false,8,Target 1,Unknown,SYBR,22.40495065407491,0.9847129265047873,1.6362333283787878,Amp,false,3,16,75.7925033569336,,,,,
B7,false,125,Target 1,Unknown,SYBR,22.96311438798311,0.995264066259554,1.6596212948098947,Amp,false,3,17,75.9273452758789,,,,,
B8,false,9,Target 1,Unknown,SYBR,22.754466034204462,0.994259710412256,1.6545562052969682,Amp,false,3,16,75.7925033569336,,,,,
B9,false,126,Target 1,Unknown,SYBR,23.955316498165708,0.9963394036034323,1.6583532409501942,Amp,false,3,17,75.9273452758789,,,,,
B10,false,10,Target 1,Unknown,SYBR,21.987438572898043,0.9897466478396589,1.6583145429723567,Amp,false,3,16,75.9273452758789,,,,,
B11,false,127,Target 1,Unknown,SYBR,25.131144593770856,0.9949181592030063,1.6718924182375055,Amp,false,3,18,75.9273452758789,,,,,
B12,false,11,Target 1,Unknown,SYBR,21.89110767484228,0.9921186009588877,1.660640391422433,Amp,false,3,16,75.7925033569336,,,,,
B13,false,128,Target 1,Unknown,SYBR,22.822134403443805,0.9958644143059697,1.6677659429651073,Amp,false,3,16,75.80232238769531,,,,,
B14,false,12,Target 1,Unknown,SYBR,21.982863919917385,0.9872008814947604,1.6545291751377789,Amp,false,3,16,75.80232238769531,,,,,
B15,false,1,Target 1,Unknown,SYBR,22.220571969886798,0.9933790616753116,1.6483683966570464,Amp,false,3,16,75.80232238769531,,,,,
B16,false,13,Target 1,Unknown,SYBR,25.255590320692228,0.9932876761746741,1.567834976776427,Amp,false,3,19,75.53247833251953,,,,,
B17,false,2,Target 1,Unknown,SYBR,22.774296294124277,0.9920579874041947,1.6317294088940528,Amp,false,3,17,75.80232238769531,,,,,
B18,false,14,Target 1,Unknown,SYBR,23.43211306865495,0.9943708267842905,1.643071311466688,Amp,false,3,16,75.80232238769531,,,,,
B19,false,3,Target 1,Unknown,SYBR,22.108578041074864,0.9867403672292907,1.6529372616748808,Amp,false,3,16,75.80232238769531,,,,,
B20,false,15,Target 1,Unknown,SYBR,22.129308657376527,0.9931187162535687,1.6367948394834868,Amp,false,3,16,75.80232238769531,,,,,
B21,false,4,Target 1,Unknown,SYBR,22.4888059450088,0.9942077755341636,1.6518479795716474,Amp,false,3,16,75.93724060058594,,,,,
B22,false,16,Target 1,Unknown,SYBR,23.306357556196758,0.9924985769559467,1.6300214056057878,Amp,false,3,17,75.93724060058594,,,,,
B23,false,5,Target 1,Unknown,SYBR,22.293327181345546,0.9905674574372466,1.6441357261928944,Amp,false,3,17,75.93724060058594,,,,,
B24,false,17,Target 1,Unknown,SYBR,24.5647876538589,0.9948047652125213,1.6384992638037053,Amp,false,3,18,76.0721664428711,,,,,
C1,false,122,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,71.47750854492188,83.47859191894531,89.54655456542969,79.97265625,,
C2,false,6,Target 1,Unknown,SYBR,26.338067343360812,0.9953455505533846,1.6465602089914513,Amp,false,3,20,75.9273452758789,,,,,
C3,false,123,Target 1,Unknown,SYBR,20.66950147755621,0.9922111321237995,1.684674561353081,Amp,false,3,15,75.9273452758789,,,,,
C4,false,7,Target 1,Unknown,SYBR,21.85402284098202,0.993438058751077,1.673266186197692,Amp,false,3,16,75.9273452758789,,,,,
C5,false,124,Target 1,Unknown,SYBR,21.930065939452064,0.9961546837473713,1.6472139308624425,Amp,false,3,16,75.7925033569336,,,,,
C6,false,8,Target 1,Unknown,SYBR,22.34780890791116,0.9952111593558967,1.655223211983312,Amp,false,3,16,75.7925033569336,,,,,
C7,false,125,Target 1,Unknown,SYBR,23.015920210160033,0.9916289357828963,1.6601818713292014,Amp,false,3,17,75.7925033569336,,,,,
C8,false,9,Target 1,Unknown,SYBR,22.663401407746584,0.9948582170536198,1.6577407997872418,Amp,false,3,16,75.9273452758789,,,,,
C9,false,126,Target 1,Unknown,SYBR,24.233339285335255,0.9950627999077707,1.659355825874348,Amp,false,3,18,75.65766143798828,,,,,
C10,false,10,Target 1,Unknown,SYBR,21.902412178382143,0.9942096114282963,1.657656859902859,Amp,false,3,15,75.9273452758789,,,,,
C11,false,127,Target 1,Unknown,SYBR,25.259321100308924,0.9956620626502541,1.6682389941010165,Amp,false,3,18,75.7925033569336,,,,,
C12,false,11,Target 1,Unknown,SYBR,21.7484116061582,0.9962307201198499,1.6666017018504071,Amp,false,3,16,75.9273452758789,,,,,
C13,false,128,Target 1,Unknown,SYBR,22.894931272911514,0.9967840499984375,1.6595109850340546,Amp,false,3,16,75.80232238769531,,,,,
C14,false,12,Target 1,Unknown,SYBR,21.897278082955097,0.9972636168337982,1.6624929993408728,Amp,false,3,16,75.80232238769531,,,,,
