pcr_date,pcr_primer,sample,sample_id,Cq,Cq_sd,nsamps,Cq_cv,Cq_relative,Cq_relative_sd3,Cq_relative_087
12/4/20,telo,1,T_002,14.6072703,0.153907252,3,1.053634585,0.965052565,0.987049103,1.14096998
12/4/20,telo,2,T_049,15.05192784,0.121666458,2,0.808311465,0.994429574,1.017095705,1.175702062
12/4/20,telo,3,T_055,14.00592589,0.155761667,3,1.112112605,0.92532379,0.946414786,1.093999129
12/4/20,telo,4,T_061,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,5,T_114,13.94151005,0.203264257,2,1.457978773,0.921068055,0.942062049,1.088967625
12/4/20,telo,6,T_118,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,7,T_121,14.31415391,0.183279702,2,1.280408911,0.945687364,0.96724251,1.118074737
12/4/20,telo,8,T_201,13.76961555,0.053378209,3,0.387652134,0.909711571,0.930446716,1.075540991
12/4/20,telo,9,T_223,14.25521874,0.000230595,2,0.001617615,0.941793719,0.963260116,1.113471327
12/4/20,telo,10,T_260,13.33849883,0.124819082,2,0.935780584,0.881229159,0.901315101,1.04186658
12/4/20,telo,11,T_380,13.57602034,0.179405975,3,1.321491645,0.896921395,0.917365012,1.060419321
12/4/20,telo,12,T_389,13.511706,0.181911658,3,1.34632635,0.892672366,0.913019135,1.055395745
12/4/20,telo,13,T_487,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,14,T_517,14.04728957,0.198486907,2,1.412990784,0.928056547,0.949209831,1.097230035
12/4/20,telo,15,T_523,14.99034863,0.057400965,2,0.382919479,0.990361245,1.012934646,1.170892126
12/4/20,telo,16,T_529,13.57108305,0.182311013,2,1.343378506,0.896595205,0.917031388,1.060033671
12/4/20,telo,17,T_553,13.18460216,0.146960231,2,1.114635311,0.87106173,0.890915926,1.029845751
12/4/20,telo,18,T_557,13.23616154,0.118494624,2,0.895234039,0.874468082,0.894399919,1.033873041
12/4/20,telo,19,T_558,14.01003529,0.208026301,3,1.484837811,0.925595283,0.946692468,1.094320113
12/4/20,telo,20,T_561,15.19284433,0.209045609,2,1.375947811,1.003739446,1.026617778,1.186709011
12/4/20,telo,21,T_087,12.8,NA,NA,NA,NA,NA,NA
12/4/20,telo,22,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,23,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,24,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,25,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,26,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,27,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,28,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,29,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,30,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,31,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,32,,18.36849052,0.045294209,2,0.24658645,1.213543566,1.241203984,1.434757886
12/4/20,telo,33,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,34,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,35,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,36,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,37,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,38,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,39,,NA,NA,NA,NA,NA,NA,NA
12/4/20,telo,40,,NA,NA,NA,NA,NA,NA,NA
