pcr_date,pcr_primer,sample,sample_id,Cq,Cq_sd,nsamps,Cq_cv,Cq_relative,Cq_relative_sd3,Cq_relative_087
11/25/20,gadph,1,T_006,22.65748513,0.010046722,2,0.044341736,0.957485417,0.964255226,1.028270474
11/25/20,gadph,2,T_018,22.71257272,0.120001444,3,0.528348089,0.959813371,0.966599638,1.030770528
11/25/20,gadph,3,T_020,22.86025344,0.232938207,3,1.018965984,0.966054228,0.972884621,1.03747276
11/25/20,gadph,4,T_024,22.07603222,0.104258919,2,0.472272,0.932913728,0.939509804,1.001882246
11/25/20,gadph,5,T_025,21.45567235,0.169679038,3,0.790835332,0.906697865,0.913108585,0.973728295
11/25/20,gadph,6,T_052,23.62423537,0.043100677,3,0.182442633,0.998339433,1.005398096,1.072144748
11/25/20,gadph,7,T_211,23.93153951,0.043564768,3,0.182039135,1.011325836,1.018476318,1.086091211
11/25/20,gadph,8,T_380,22.93891172,0.057667659,3,0.251396665,0.969378258,0.976232153,1.041042529
11/25/20,gadph,9,T_446,24.11844029,0.034586461,3,0.143402563,1.019224099,1.026430425,1.094573377
11/25/20,gadph,10,T_225,24.72762368,0.008071068,3,0.032639886,1.044967654,1.052355997,1.122220104
11/25/20,gadph,11,T_548,23.05014607,0.118757338,3,0.515212951,0.974078924,0.980966055,1.046090706
11/25/20,gadph,12,T_549,22.93847663,0.063835249,3,0.278288963,0.969359871,0.976213637,1.041022783
11/25/20,gadph,13,T_550,22.4584661,0.019298654,3,0.08593042,0.949075048,0.955785391,1.019238342
11/25/20,gadph,14,T_551,24.25134797,0.017048258,3,0.070298188,1.024840661,1.032086698,1.100605161
11/25/20,gadph,15,T_552,23.14483103,0.024810301,3,0.107195861,0.978080227,0.984995649,1.050387818
11/25/20,gadph,16,T_087,22.03455775,0.066372318,3,0.301219199,0.931161053,0.937744738,1
11/25/20,gadph,17,T_006 (first dilution),NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,18,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,19,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,20,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,21,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,22,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,23,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,24,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,25,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,26,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,27,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,28,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,29,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,30,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,31,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,32,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,33,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,34,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,35,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,36,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,37,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,38,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,39,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,40,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,41,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,42,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,43,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,44,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,45,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,46,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,47,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,48,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,49,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,50,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,51,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,52,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,53,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,54,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,55,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,56,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,57,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,58,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,59,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,60,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,61,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,62,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,63,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,64,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,65,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,66,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,67,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,68,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,69,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,70,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,71,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,72,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,73,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,74,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,75,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,76,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,77,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,78,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,79,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,80,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,81,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,82,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,83,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,84,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,85,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,86,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,87,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,88,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,89,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,90,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,91,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,92,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,93,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,94,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,95,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,96,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,97,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,98,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,99,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,100,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,101,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,102,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,103,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,104,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,105,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,106,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,107,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,108,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,109,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,110,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,111,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,112,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,113,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,114,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,115,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,116,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,117,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,118,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,119,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,120,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,121,,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,122,H20,NA,NA,NA,NA,NA,NA,NA
11/25/20,gadph,123,Std1-B,21.12661022,0.121524508,3,0.575220099,0.892791988,0.899104388,0.958794384
11/25/20,gadph,124,Std2-B,22.18719956,0.067018515,3,0.302059367,0.937611562,0.944240854,1.006927383
11/25/20,gadph,125,Std3-B,23.49739419,0.102867938,3,0.437784452,0.992979236,1,1.066388282
11/25/20,gadph,126,Std4-B,24.87240058,0.036983457,3,0.148692753,1.051085799,1.058517399,1.128790551
11/25/20,gadph,127,Std5-B,26.5187869,0.023545412,3,0.088787667,1.120660638,1.128584161,1.203508925
11/25/20,gadph,128,gold,23.66353024,0.116737041,3,0.49332048,1,1.007070403,1.073928078
