pcr_date,pcr_primer,sample,sample_id,Cq,Cq_sd,nsamps,Cq_cv,Cq_relative,Cq_relative_sd3,Cq_relative_087
10/26/20,telo,1,T_001,13.41058257,0.143760675,2,1.07199426,0.947136149,0.967508219,1.105160391
10/26/20,telo,2,T_002,NA,NA,NA,NA,NA,NA,NA
10/26/20,telo,3,T_003,13.54335201,0.027611107,2,0.203872029,0.956513127,0.977086887,1.116101864
10/26/20,telo,4,T_004,13.63272227,0.018510095,2,0.135776952,0.962824993,0.983534516,1.123466829
10/26/20,telo,5,T_005,15.29987904,0.007807731,2,0.051031323,1.08056965,1.103811757,1.260856508
10/26/20,telo,6,T_006,NA,NA,NA,NA,NA,NA,NA
10/26/20,telo,7,T_007,13.00068809,0.219180682,2,1.685916014,0.91818693,0.937936328,1.071381162
10/26/20,telo,8,T_008,13.92769018,0.123319913,3,0.885429756,0.983657404,1.004815015,1.147775009
10/26/20,telo,9,T_009,13.81115057,0.165044929,2,1.195012164,0.975426675,0.996407249,1.138171029
10/26/20,telo,10,T_010,13.6781339,0.165104685,3,1.20707025,0.966032236,0.986810744,1.127209182
10/26/20,telo,11,T_011,13.20796449,0.079044636,3,0.598461909,0.932826039,0.952890311,1.088462722
10/26/20,telo,12,T_012,13.48172049,0.108885781,3,0.807654937,0.952160338,0.972640473,1.111022837
10/26/20,telo,13,T_013,14.46298392,0.239804517,2,1.658057001,1.021463074,1.043433851,1.191888338
10/26/20,telo,14,T_014,NA,NA,NA,NA,NA,NA,NA
10/26/20,telo,15,T_015,NA,NA,NA,NA,NA,NA,NA
10/26/20,telo,16,T_016,14.28647879,0.235031645,3,1.645133475,1.008997217,1.030699865,1.177342625
10/26/20,telo,17,T_017,13.99162785,0.236974196,3,1.693685671,0.988173067,1.009427806,1.153044085
10/26/20,telo,18,T_018,13.85757361,0.043748438,2,0.315700563,0.97870535,0.999756446,1.141996733
10/26/20,telo,19,T_019,14.61607509,0.088277987,2,0.603978744,1.032275294,1.054478633,1.204504516
10/26/20,telo,20,T_020,14.05938454,0.115269188,2,0.81987364,0.992958453,1.014316121,1.158627885
10/26/20,telo,21,T_021,12.59272975,0.180971287,2,1.437109276,0.889374454,0.908504121,1.037761489
10/26/20,telo,22,T_022,12.50974971,0.14534272,2,1.161835552,0.883513904,0.902517515,1.030923139
10/26/20,telo,23,T_023,13.26329234,0.114087837,2,0.860177356,0.936733625,0.956881946,1.093022266
10/26/20,telo,24,T_024,12.83334713,0.147919681,2,1.15261965,0.906368303,0.925863493,1.057590665
10/26/20,telo,25,T_025,NA,NA,NA,NA,NA,NA,NA
10/26/20,telo,26,T_026,13.76138489,0.00354684,2,0.025773856,0.971911922,0.992816898,1.134069861
10/26/20,telo,27,T_027,14.76102707,0.212048545,3,1.4365433,1.042512677,1.064936212,1.216449947
10/26/20,telo,28,T_028,14.10664113,0.24572141,2,1.741884602,0.996295998,1.017725454,1.16252228
10/26/20,telo,29,T_029,13.01264465,0.003978416,2,0.030573465,0.919031375,0.938798936,1.072366497
10/26/20,telo,30,T_030,13.83832984,0.238147386,3,1.720925784,0.977346239,0.998368101,1.140410862
10/26/20,telo,31,T_031,13.18418181,0.044323889,2,0.336189907,0.931146363,0.951174507,1.086502802
10/26/20,telo,32,T_032,12.86410452,0.08923962,3,0.693710314,0.908540576,0.928082489,1.060125368
10/26/20,telo,33,T_033,13.21562844,0.082455318,3,0.623922794,0.933367313,0.953443228,1.089094304
10/26/20,telo,34,T_034,13.90588669,0.082869739,2,0.595932793,0.982117511,1.003241999,1.145978193
10/26/20,telo,35,T_035,12.52825675,0.059418391,2,0.474275007,0.884820983,0.903852708,1.032448297
10/26/20,telo,36,T_036,15.35568599,0.019127351,2,0.124562011,1.084511073,1.107837957,1.265455535
10/26/20,telo,37,T_037,13.74691588,0.234504073,2,1.70586679,0.970890033,0.991773029,1.132877476
10/26/20,telo,38,T_038,13.49610316,0.179353058,3,1.328924768,0.953176128,0.973678113,1.112208107
10/26/20,telo,39,T_039,13.88205329,0.016500963,2,0.118865437,0.980434252,1.001522535,1.144014092
10/26/20,telo,40,T_040,NA,NA,NA,NA,NA,NA,NA
10/26/20,telo,41,T_041,13.58652761,0.151759487,3,1.116985087,0.959562448,0.980201796,1.119659947
10/26/20,telo,42,T_042,NA,NA,NA,NA,NA,NA,NA
10/26/20,telo,43,T_043,13.17698356,0.145317276,2,1.102811393,0.930637979,0.950655188,1.085909596
10/26/20,telo,44,T_044,16.62348812,0.163178452,2,0.981613793,1.174050898,1.199303706,1.369934567
10/26/20,telo,45,T_045,13.37867922,0.00530097,2,0.039622524,0.944882942,0.965206547,1.10253125
10/26/20,telo,46,T_046,13.80441404,0.231670515,3,1.678235052,0.9749509,0.995921241,1.137615875
10/26/20,telo,47,T_047,14.24218425,0.135898491,2,0.954196976,1.005868871,1.02750423,1.173692332
10/26/20,telo,48,T_048,14.06043272,0.22645477,2,1.610581798,0.993032482,1.014391742,1.158714265
10/26/20,telo,49,T_049,NA,NA,NA,NA,NA,NA,NA
10/26/20,telo,50,T_050,15.94294175,0.181955129,2,1.141289555,1.125986613,1.1502056,1.313851031
10/26/20,telo,51,T_051,14.17299468,0.22294584,3,1.573032692,1.000982286,1.022512539,1.167990448
10/26/20,telo,52,T_052,NA,NA,NA,NA,NA,NA,NA
10/26/20,telo,53,T_053,16.55914873,0.231520235,2,1.398140923,1.169506863,1.194661933,1.364632386
10/26/20,telo,54,T_054,15.20331318,0.161533481,2,1.062488677,1.073749587,1.096845001,1.252898557
